                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3101,                0.59571,                0.76724,                0.91471,                0.68482,                0.85047,                 0.4632,                 1.2536,                0.93237,                0.74641,               0.073952,              0.0029845,              0.0029845
                      2,                 1.4255,                0.69583,                0.77778,                0.76646,                0.77896,                0.83994,                0.38957,                 1.6696,                  1.305,                0.78655,               0.047293,              0.0058179,              0.0058179
                      3,                 1.5073,                0.74956,                0.79012,                 0.8201,                0.74319,                0.80971,                0.40341,                 1.5603,                 1.0039,                0.77315,               0.020433,              0.0084511,              0.0084511
                      4,                 1.5575,                0.77455,                0.78768,                0.86203,                0.64202,                0.72672,                0.35714,                 1.5306,                  1.448,                0.77669,              0.0092623,              0.0092623,              0.0092623
                      5,                 1.4837,                0.69004,                0.79052,                0.89433,                0.82333,                0.87773,                0.45201,                 1.4548,                0.88998,                 0.7699,               0.008923,               0.008923,               0.008923
                      6,                  1.448,                0.70795,                0.77953,                0.89806,                0.81712,                 0.8801,                0.46223,                 1.3287,                0.86761,                0.75357,              0.0085838,              0.0085838,              0.0085838
                      7,                 1.4696,                0.70122,                0.78497,                0.95263,                0.86075,                0.92398,                 0.4386,                 1.5428,                0.71233,                0.77714,              0.0082446,              0.0082446,              0.0082446
                      8,                  1.419,                 0.6275,                0.78924,                0.94687,                0.81323,                0.89558,                0.40386,                 1.6215,                0.71189,                0.77712,              0.0079053,              0.0079053,              0.0079053
                      9,                 1.3546,                0.62338,                0.78425,                0.94628,                0.85992,                0.93078,                0.51449,                 1.3698,                0.70057,                0.77157,              0.0075661,              0.0075661,              0.0075661
                     10,                 1.3971,                0.66201,                 0.7766,                0.95852,                 0.8716,                0.94945,                0.56241,                 1.1086,                0.54535,                 0.7462,              0.0072268,              0.0072268,              0.0072268
                     11,                 1.3342,                0.57122,                0.77328,                  0.843,                0.82101,                0.87431,                0.30804,                 1.9427,                0.80286,                0.79417,              0.0068876,              0.0068876,              0.0068876
                     12,                 1.3187,                0.56491,                 0.7759,                0.94795,                0.92116,                0.95421,                0.56157,                 1.1835,                0.64553,                0.75757,              0.0065484,              0.0065484,              0.0065484
                     13,                 1.2907,                0.55195,                 0.7805,                  0.942,                0.92218,                0.95994,                0.49135,                  1.367,                0.61183,                0.75902,              0.0062091,              0.0062091,              0.0062091
                     14,                 1.2809,                0.56031,                0.77265,                0.94954,                0.91051,                0.94676,                 0.4995,                 1.3329,                0.58458,                0.75924,              0.0058699,              0.0058699,              0.0058699
                     15,                 1.3352,                0.57842,                0.77094,                0.96796,                0.94032,                0.97688,                0.60277,                  1.092,                0.48888,                0.74731,              0.0055306,              0.0055306,              0.0055306
                     16,                 1.2763,                0.55358,                0.76715,                0.95402,                0.89883,                0.95386,                0.51114,                 1.1668,                0.61494,                0.74979,              0.0051914,              0.0051914,              0.0051914
                     17,                 1.2667,                0.54037,                0.76679,                0.94777,                 0.9179,                0.96215,                0.57978,                 1.0417,                0.49957,                0.74756,              0.0048522,              0.0048522,              0.0048522
                     18,                 1.2125,                0.50638,                 0.7665,                0.95987,                0.94163,                0.97133,                 0.5982,                  1.042,                0.51247,                0.74782,              0.0045129,              0.0045129,              0.0045129
                     19,                 1.2088,                 0.5115,                0.76727,                0.96395,                0.93634,                0.97205,                0.58312,                  1.083,                0.47434,                0.74433,              0.0041737,              0.0041737,              0.0041737
                     20,                 1.1984,                 0.5018,                0.76697,                 0.9527,                0.94053,                0.97548,                0.59117,                 1.0271,                0.47489,                0.74128,              0.0038344,              0.0038344,              0.0038344
                     21,                 1.1723,                0.51471,                0.76729,                0.96663,                0.92996,                0.97718,                 0.6014,                 1.0294,                0.50147,                0.74078,              0.0034952,              0.0034952,              0.0034952
                     22,                 1.1286,                0.50004,                0.77045,                 0.9325,                0.94553,                0.96593,                0.54346,                 1.0722,                0.51772,                0.74258,               0.003156,               0.003156,               0.003156
                     23,                 1.1201,                0.48723,                0.76333,                0.96125,                0.96531,                0.98272,                0.54375,                 1.1069,                0.48407,                0.74949,              0.0028167,              0.0028167,              0.0028167
                     24,                 1.1381,                0.48291,                0.76889,                 0.9761,                0.95335,                0.98359,                0.58793,                 1.1167,                0.44847,                0.74577,              0.0024775,              0.0024775,              0.0024775
                     25,                 1.0962,                0.44071,                0.76298,                0.96849,                0.95671,                0.97968,                0.59219,                 1.0078,                0.43687,                0.74289,              0.0021382,              0.0021382,              0.0021382
                     26,                 1.0508,                0.44837,                0.76062,                0.96135,                0.96771,                0.98372,                0.57816,                0.99349,                0.43037,                 0.7405,               0.001799,               0.001799,               0.001799
                     27,                 1.0779,                0.44466,                0.75659,                0.96925,                0.94942,                0.98346,                 0.6095,                 1.0074,                0.41199,                0.73916,              0.0014598,              0.0014598,              0.0014598
                     28,                  1.017,                0.41855,                0.75144,                0.97518,                0.94942,                0.97596,                0.60811,                 1.0052,                0.42772,                0.73823,              0.0011205,              0.0011205,              0.0011205
                     29,                 1.0342,                0.42019,                 0.7567,                0.97304,                0.96109,                0.98344,                0.65014,                0.87418,                0.41581,                0.73381,             0.00078128,             0.00078128,             0.00078128
                     30,                 1.0057,                0.40597,                0.75347,                0.97639,                0.96553,                0.98421,                0.61918,                0.92622,                0.39349,                0.73608,             0.00044204,             0.00044204,             0.00044204
