                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1518,                0.57649,                0.78208,                0.93525,                0.80156,                0.90747,                0.41366,                 1.4327,                0.89388,                0.79233,               0.065705,              0.0034292,              0.0034292
                      2,                   1.27,                 0.6816,                 0.7915,                0.91115,                0.27626,                0.40707,                0.21526,                 1.9021,                 1.4892,                 1.7574,               0.030637,              0.0066845,              0.0066845
                      3,                 1.3049,                 0.6802,                0.80313,                0.93267,                0.70073,                0.83103,                0.47301,                  1.249,                 1.0568,                0.79111,              0.0084897,              0.0084897,              0.0084897
                      4,                 1.2936,                0.67552,                0.80281,                0.90464,                  0.849,                0.90613,                0.45613,                 1.1874,                0.94238,                0.77595,              0.0081896,              0.0081896,              0.0081896
                      5,                 1.2749,                0.66635,                0.79748,                  0.933,                0.86689,                0.91788,                0.46324,                 1.1975,                0.72814,                0.77904,              0.0078895,              0.0078895,              0.0078895
                      6,                 1.3082,                0.67454,                0.80885,                0.95157,                0.79767,                 0.8939,                0.42227,                 1.2969,                0.79306,                  0.788,              0.0075894,              0.0075894,              0.0075894
                      7,                 1.2542,                0.63005,                0.79576,                0.79002,                0.81712,                0.87223,                0.43135,                 1.2725,                0.82513,                0.78059,              0.0072892,              0.0072892,              0.0072892
                      8,                 1.2495,                0.60405,                0.78986,                0.84583,                0.82101,                0.86931,                0.46364,                 1.1468,                0.95906,                0.77767,              0.0069891,              0.0069891,              0.0069891
                      9,                 1.1761,                0.56843,                0.79813,                0.94206,                0.87938,                0.93617,                0.52166,                 1.0353,                0.58574,                 0.7748,               0.006689,               0.006689,               0.006689
                     10,                 1.1561,                0.58868,                0.79673,                   0.91,                0.90485,                0.94608,                 0.5187,                 1.0424,                0.58352,                0.77324,              0.0063889,              0.0063889,              0.0063889
                     11,                 1.1526,                0.54261,                 0.7944,                 0.9562,                0.91829,                0.95651,                0.53257,                0.99119,                0.55991,                  0.768,              0.0060887,              0.0060887,              0.0060887
                     12,                 1.1215,                0.51988,                 0.7933,                0.97912,                0.91232,                0.96672,                0.53587,                 1.0334,                0.53287,                0.76944,              0.0057886,              0.0057886,              0.0057886
                     13,                 1.1413,                0.52165,                0.78981,                0.95234,                0.94553,                0.96574,                 0.5333,                 1.0307,                0.49081,                0.76373,              0.0054885,              0.0054885,              0.0054885
                     14,                 1.1567,                0.52675,                0.79239,                0.96407,                0.89883,                 0.9647,                0.57234,                0.99104,                0.51484,                0.76379,              0.0051883,              0.0051883,              0.0051883
                     15,                 1.1329,                0.52791,                0.78123,                0.96201,                0.94163,                 0.9776,                0.56255,                 1.0311,                0.49379,                0.77013,              0.0048882,              0.0048882,              0.0048882
                     16,                 1.1238,                0.51776,                0.79142,                0.96435,                0.94725,                0.98278,                0.55423,                 0.9734,                0.46539,                0.76643,              0.0045881,              0.0045881,              0.0045881
                     17,                 1.1114,                 0.5007,                0.79092,                0.93899,                0.94553,                0.97705,                 0.5781,                0.93409,                0.47819,                0.76313,               0.004288,               0.004288,               0.004288
                     18,                 1.0598,                0.47807,                0.78683,                0.95667,                 0.9451,                0.97214,                0.61414,                0.86984,                 0.4389,                0.75965,              0.0039878,              0.0039878,              0.0039878
                     19,                 1.0433,                0.47763,                0.77678,                0.96575,                0.94942,                0.97716,                0.58255,                0.91343,                0.45871,                0.76117,              0.0036877,              0.0036877,              0.0036877
                     20,                 1.0588,                0.46756,                0.78764,                0.96079,                0.95346,                0.97834,                 0.5527,                 1.0431,                0.49998,                0.76866,              0.0033876,              0.0033876,              0.0033876
                     21,                0.99032,                 0.4648,                0.78574,                0.97942,                0.92575,                0.97391,                0.56882,                0.98336,                0.47571,                 0.7652,              0.0030874,              0.0030874,              0.0030874
                     22,                0.98648,                0.44313,                0.77689,                0.97025,                0.94553,                0.97537,                 0.6253,                0.87083,                0.44082,                0.75894,              0.0027873,              0.0027873,              0.0027873
                     23,                0.98667,                 0.4567,                0.77364,                0.94483,                0.93286,                0.96236,                0.57488,                0.91698,                0.46987,                0.76082,              0.0024872,              0.0024872,              0.0024872
                     24,                0.96275,                 0.4297,                0.78149,                0.95619,                0.94553,                0.97419,                 0.6221,                0.85317,                0.44543,                0.75789,              0.0021871,              0.0021871,              0.0021871
                     25,                0.92568,                0.42203,                0.78365,                0.95792,                0.94553,                0.96932,                 0.5819,                0.89127,                0.43784,                0.75787,              0.0018869,              0.0018869,              0.0018869
                     26,                0.92877,                0.42577,                0.77892,                0.96498,                0.94553,                0.98067,                0.59081,                0.96074,                0.47731,                0.75997,              0.0015868,              0.0015868,              0.0015868
                     27,                0.92716,                0.41969,                0.77445,                0.96791,                0.93888,                0.97609,                0.59831,                 0.8666,                0.44102,                0.75457,              0.0012867,              0.0012867,              0.0012867
                     28,                0.90397,                0.39567,                0.77816,                0.96748,                 0.9572,                0.98163,                0.62726,                0.84652,                0.45336,                0.75229,             0.00098656,             0.00098656,             0.00098656
                     29,                0.90693,                0.39848,                0.77348,                0.97768,                 0.9572,                0.98828,                0.60665,                0.93026,                0.44895,                0.75765,             0.00068643,             0.00068643,             0.00068643
                     30,                0.88937,                0.40352,                 0.7744,                0.96255,                 0.9572,                0.98272,                0.62665,                0.83056,                0.44382,                0.75346,              0.0003863,              0.0003863,              0.0003863
