                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3765,                0.67396,                0.54542,                0.85314,                 0.6537,                0.71516,                0.32771,                 1.8018,                 1.3839,                0.56096,               0.070612,              0.0043022,              0.0043022
                      2,                 1.6538,                0.95496,                0.56012,                0.42123,                0.45136,                0.33639,                0.13664,                 1.8247,                 3.3226,                0.55938,               0.040472,              0.0083868,              0.0083868
                      3,                  1.877,                0.97565,                0.57643,                0.83095,                 0.7393,                0.80242,                0.31635,                 1.8258,                 1.4322,                0.55854,               0.011928,               0.011928,               0.011928
                      4,                 1.7205,                0.95165,                0.56843,                0.88579,                0.74319,                0.87178,                0.41075,                 1.6965,                 1.0155,                0.55058,               0.011507,               0.011507,               0.011507
                      5,                  1.703,                0.91253,                0.56733,                 0.6411,                0.70039,                0.73032,                0.35032,                 1.5899,                 4.7043,                0.54564,               0.011086,               0.011086,               0.011086
                      6,                 1.6453,                0.84054,                0.56349,                 0.9505,                0.82181,                  0.919,                 0.4435,                 1.5667,                0.85363,                0.54978,               0.010665,               0.010665,               0.010665
                      7,                 1.6149,                0.78151,                 0.5643,                0.92103,                0.86228,                0.92278,                0.46746,                 1.4176,                0.82405,                 0.5411,               0.010244,               0.010244,               0.010244
                      8,                 1.5376,                0.74459,                0.55511,                0.95793,                0.88607,                0.93417,                0.48781,                 1.4872,                 0.7109,                0.54628,              0.0098233,              0.0098233,              0.0098233
                      9,                 1.4951,                0.72259,                0.55152,                0.91807,                0.87938,                0.93251,                0.42015,                 1.6222,                0.77639,                0.54725,              0.0094024,              0.0094024,              0.0094024
                     10,                 1.4823,                0.71092,                0.55041,                0.96796,                0.93774,                 0.9658,                 0.5099,                 1.4161,                0.68968,                0.54468,              0.0089814,              0.0089814,              0.0089814
                     11,                 1.4357,                0.67304,                0.55233,                0.89956,                0.87121,                0.93358,                0.50521,                 1.2165,                0.86875,                  0.535,              0.0085605,              0.0085605,              0.0085605
                     12,                 1.4035,                0.67944,                0.54682,                0.93217,                0.90661,                 0.9475,                0.44438,                 1.4745,                0.73246,                0.54523,              0.0081395,              0.0081395,              0.0081395
                     13,                 1.4156,                0.65581,                0.55093,                0.91265,                0.89444,                0.92822,                0.46321,                 1.4528,                0.69832,                0.54056,              0.0077185,              0.0077185,              0.0077185
                     14,                   1.41,                0.64841,                0.54845,                0.96723,                0.94942,                0.97677,                0.55672,                 1.1587,                0.61798,                0.53424,              0.0072976,              0.0072976,              0.0072976
                     15,                 1.3699,                0.63477,                0.54143,                0.94855,                0.93265,                0.96646,                0.49228,                 1.3575,                0.66957,                0.53893,              0.0068766,              0.0068766,              0.0068766
                     16,                 1.3659,                0.62496,                0.54674,                0.97182,                0.93932,                 0.9663,                0.57663,                 1.1813,                0.60981,                0.53399,              0.0064557,              0.0064557,              0.0064557
                     17,                 1.3169,                 0.5865,                0.54309,                0.96825,                0.95331,                0.97699,                0.56429,                 1.2111,                0.61437,                0.53392,              0.0060347,              0.0060347,              0.0060347
                     18,                  1.343,                0.59496,                0.54534,                0.97479,                0.94163,                0.97808,                 0.5579,                 1.1177,                0.55363,                0.53047,              0.0056138,              0.0056138,              0.0056138
                     19,                 1.3255,                 0.5663,                0.54753,                0.95963,                0.94942,                0.97683,                0.54047,                  1.347,                0.60638,                0.53793,              0.0051928,              0.0051928,              0.0051928
                     20,                 1.2895,                0.56932,                0.54123,                0.96915,                0.92607,                0.96492,                0.57602,                 1.1045,                0.56201,                0.52808,              0.0047719,              0.0047719,              0.0047719
                     21,                 1.2147,                0.55764,                0.54711,                0.93631,                0.93385,                0.96936,                0.55266,                 1.0911,                0.63036,                0.53144,              0.0043509,              0.0043509,              0.0043509
                     22,                 1.2198,                0.54969,                0.54511,                0.95761,                0.94942,                0.97962,                0.54874,                 1.2418,                0.54172,                0.53437,                0.00393,                0.00393,                0.00393
                     23,                 1.2087,                0.56005,                0.53784,                0.96787,                0.93784,                0.97974,                0.63309,                 1.0504,                 0.5323,                0.53034,               0.003509,               0.003509,               0.003509
                     24,                 1.1689,                0.52334,                0.54822,                0.96679,                0.94942,                0.96997,                0.56792,                 1.1542,                0.52585,                0.52921,               0.003088,               0.003088,               0.003088
                     25,                 1.1512,                0.51941,                0.53755,                0.96734,                0.93774,                0.97873,                 0.5549,                 1.3089,                0.58773,                 0.5358,              0.0026671,              0.0026671,              0.0026671
                     26,                 1.1508,                0.51387,                0.53658,                 0.9841,                0.96356,                0.99071,                0.55271,                 1.3254,                0.56029,                0.53333,              0.0022461,              0.0022461,              0.0022461
                     27,                 1.1714,                0.50755,                0.54024,                0.97471,                 0.9572,                0.98068,                0.61847,                 1.0376,                0.47389,                0.52644,              0.0018252,              0.0018252,              0.0018252
                     28,                 1.1066,                   0.49,                 0.5367,                 0.9919,                0.95301,                0.98791,                 0.5996,                 1.0693,                0.51667,                0.52968,              0.0014042,              0.0014042,              0.0014042
                     29,                  1.104,                0.47866,                0.54018,                0.97871,                0.97276,                0.98502,                0.63094,                0.98894,                0.49477,                0.52682,             0.00098327,             0.00098327,             0.00098327
                     30,                 1.0764,                0.46561,                0.53678,                0.97259,                0.98054,                0.98901,                0.61537,                0.98602,                0.46917,                0.52491,             0.00056232,             0.00056232,             0.00056232
