                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3532,                 17.352,                 1.1971,                0.77143,                0.73541,                0.80719,                0.35683,                 1.3022,                 3.3929,                 1.1694,               0.071924,              0.0020678,              0.0020678
                      2,                 1.2135,                  1.159,                   1.17,                0.89551,                0.76654,                0.85518,                0.46136,                0.91473,                 1.5967,                 1.0978,               0.043265,              0.0040309,              0.0040309
                      3,                 1.1121,                 1.0408,                 1.1522,                0.88907,                0.76654,                0.83445,                0.41045,                 1.0709,                 3.7951,                 1.1239,               0.014468,              0.0058553,              0.0058553
                      4,                 1.1288,                 1.0415,                 1.1534,                0.82336,                0.56227,                0.67755,                0.30963,                 1.0465,                 1.7046,                 1.1274,              0.0061807,              0.0061807,              0.0061807
                      5,                 1.0454,                0.89414,                 1.1284,                0.89469,                 0.8249,                0.88736,                 0.3595,                 1.2041,                 1.1965,                 1.1436,              0.0059543,              0.0059543,              0.0059543
                      6,                 1.0346,                0.87704,                 1.1316,                0.90344,                0.83735,                 0.9271,                0.54816,                0.84116,                  1.018,                 1.0955,              0.0057279,              0.0057279,              0.0057279
                      7,                 1.0771,                 0.8992,                 1.1375,                0.89538,                0.86582,                0.92606,                0.49924,                0.94104,                0.85492,                 1.1017,              0.0055014,              0.0055014,              0.0055014
                      8,                 1.0027,                0.77821,                  1.126,                0.92174,                0.91653,                 0.9518,                0.49729,                0.90729,                0.78562,                 1.0945,               0.005275,               0.005275,               0.005275
                      9,                0.97572,                0.74275,                 1.1077,                0.95342,                0.90661,                0.94225,                0.49715,                0.92158,                0.78935,                 1.0998,              0.0050486,              0.0050486,              0.0050486
                     10,                0.99023,                0.74172,                 1.1151,                0.92072,                0.94902,                0.95768,                  0.537,                0.84446,                 0.7323,                 1.0912,              0.0048222,              0.0048222,              0.0048222
                     11,                0.98994,                0.72392,                 1.1253,                0.95984,                0.93008,                0.96772,                0.53398,                0.89417,                0.75977,                 1.0924,              0.0045957,              0.0045957,              0.0045957
                     12,                0.92544,                0.65983,                 1.1177,                0.95219,                0.92997,                0.97569,                0.59102,                0.78264,                0.62681,                 1.0796,              0.0043693,              0.0043693,              0.0043693
                     13,                0.89355,                 0.6588,                 1.1109,                0.94724,                0.91051,                0.95622,                 0.4847,                0.93014,                0.71291,                 1.1002,              0.0041429,              0.0041429,              0.0041429
                     14,                0.92455,                0.66729,                 1.1082,                0.96363,                0.92607,                0.97296,                0.60319,                0.72538,                0.63581,                 1.0768,              0.0039165,              0.0039165,              0.0039165
                     15,                0.92129,                0.70046,                 1.1076,                0.97103,                0.91051,                0.96444,                0.58378,                0.74689,                0.71647,                 1.0799,                0.00369,                0.00369,                0.00369
                     16,                0.91517,                0.68327,                 1.1139,                 0.9598,                0.94942,                0.97653,                0.53928,                0.83275,                 0.7229,                 1.0856,              0.0034636,              0.0034636,              0.0034636
                     17,                0.89325,                0.63517,                 1.1047,                0.92642,                0.93088,                0.97011,                0.48385,                0.96405,                0.65868,                 1.0926,              0.0032372,              0.0032372,              0.0032372
                     18,                0.90689,                0.65407,                 1.1091,                0.96215,                0.91829,                0.96867,                0.48164,                0.88764,                0.66645,                 1.0849,              0.0030108,              0.0030108,              0.0030108
                     19,                0.86444,                0.60025,                 1.1044,                0.96005,                0.94942,                 0.9769,                0.58213,                0.78203,                0.57638,                  1.077,              0.0027843,              0.0027843,              0.0027843
                     20,                0.85296,                0.60364,                 1.1018,                0.96858,                0.95944,                0.98648,                0.54865,                0.78754,                0.60321,                 1.0794,              0.0025579,              0.0025579,              0.0025579
                     21,                0.82652,                0.58949,                 1.1049,                0.97615,                0.94553,                 0.9789,                0.58051,                0.70847,                0.58985,                 1.0661,              0.0023315,              0.0023315,              0.0023315
                     22,                 0.8242,                0.58839,                 1.1085,                0.96745,                0.92509,                0.96946,                0.55718,                  0.701,                0.62057,                  1.074,              0.0021051,              0.0021051,              0.0021051
                     23,                0.82256,                0.58859,                 1.1079,                0.99338,                0.94942,                0.98992,                0.64826,                0.67731,                0.52206,                 1.0678,              0.0018786,              0.0018786,              0.0018786
                     24,                  0.822,                0.58576,                 1.0989,                0.98759,                0.92869,                0.98228,                0.58328,                0.73213,                0.56163,                 1.0712,              0.0016522,              0.0016522,              0.0016522
                     25,                0.80591,                0.56476,                 1.0972,                 0.9917,                0.92969,                0.97933,                0.63163,                  0.657,                0.53443,                 1.0639,              0.0014258,              0.0014258,              0.0014258
                     26,                0.80145,                0.55841,                 1.0945,                0.96858,                0.95968,                0.98344,                0.51252,                0.88446,                  0.574,                 1.0823,              0.0011994,              0.0011994,              0.0011994
                     27,                0.77655,                0.53182,                 1.0946,                0.97243,                0.96062,                0.98441,                0.56748,                0.79186,                0.52164,                 1.0767,             0.00097293,             0.00097293,             0.00097293
                     28,                0.74319,                0.51066,                 1.0846,                0.97219,                  0.952,                0.98394,                0.65371,                0.62034,                0.51038,                 1.0593,             0.00074651,             0.00074651,             0.00074651
                     29,                0.76418,                0.52936,                 1.0899,                0.98624,                0.96109,                0.98697,                0.64133,                0.61368,                0.50429,                 1.0622,             0.00052008,             0.00052008,             0.00052008
                     30,                0.73854,                0.49408,                  1.089,                0.95973,                0.95331,                0.98325,                0.62438,                0.65255,                  0.487,                 1.0619,             0.00029365,             0.00029365,             0.00029365
