                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1934,                0.56729,                0.84694,                0.96168,                0.77821,                0.92061,                 0.5249,                 1.2073,                 1.1268,                0.84213,               0.072843,              0.0031318,              0.0031318
                      2,                 1.4486,                0.71614,                0.87368,                0.72093,                0.12062,                0.42084,                0.17198,                 2.1998,                 5.4882,                0.97773,               0.045047,               0.006105,               0.006105
                      3,                 1.4292,                0.74184,                0.87645,                0.45685,                0.35019,                0.46481,                0.29536,                 1.2027,                 3.5025,                0.88197,               0.017041,              0.0088681,              0.0088681
                      4,                   1.44,                0.73203,                0.87474,                0.87301,                  0.642,                0.77073,                0.33315,                 1.7411,                 1.4062,                0.89601,              0.0093162,              0.0093162,              0.0093162
                      5,                 1.3875,                0.70526,                0.86742,                0.71698,                0.59144,                0.69377,                0.33044,                 1.6886,                 3.0588,                0.89348,              0.0089749,              0.0089749,              0.0089749
                      6,                 1.2953,                0.65097,                0.86857,                0.84641,                0.77043,                0.84205,                0.34135,                 1.6931,                0.94564,                0.88946,              0.0086336,              0.0086336,              0.0086336
                      7,                 1.3663,                0.62491,                0.87637,                0.93812,                0.88477,                0.94224,                0.47574,                 1.2878,                0.68007,                0.84918,              0.0082923,              0.0082923,              0.0082923
                      8,                 1.3497,                0.65127,                0.87487,                0.98319,                0.89494,                0.96468,                0.53945,                 1.1305,                0.58688,                0.84526,               0.007951,               0.007951,               0.007951
                      9,                 1.3846,                0.61575,                0.87364,                0.88803,                0.85214,                0.90638,                0.47205,                 1.2311,                0.89936,                0.86486,              0.0076098,              0.0076098,              0.0076098
                     10,                 1.2656,                0.60519,                0.86514,                0.95501,                0.89883,                0.94866,                0.50605,                 1.2524,                0.64016,                0.85541,              0.0072685,              0.0072685,              0.0072685
                     11,                  1.256,                0.55533,                0.86193,                0.94235,                0.83268,                0.94235,                0.43603,                 1.4152,                0.81693,                0.85882,              0.0069272,              0.0069272,              0.0069272
                     12,                 1.2364,                 0.5472,                0.86445,                0.92766,                0.94812,                0.95917,                0.50371,                 1.2247,                0.72738,                0.84543,              0.0065859,              0.0065859,              0.0065859
                     13,                 1.2007,                0.55187,                 0.8668,                0.93664,                0.85603,                0.93453,                0.49988,                 1.0947,                0.59833,                0.84201,              0.0062447,              0.0062447,              0.0062447
                     14,                 1.1827,                0.55334,                0.86134,                0.96603,                0.88513,                0.94743,                 0.4705,                 1.3841,                0.67519,                0.86007,              0.0059034,              0.0059034,              0.0059034
                     15,                 1.2087,                0.54472,                0.85932,                0.95936,                0.91864,                0.96167,                0.55297,                 1.1154,                0.55253,                0.83951,              0.0055621,              0.0055621,              0.0055621
                     16,                 1.1841,                0.54178,                0.86292,                0.94086,                 0.9286,                0.95952,                0.50583,                 1.1712,                0.58376,                0.84421,              0.0052208,              0.0052208,              0.0052208
                     17,                  1.141,                0.51188,                0.85819,                0.98366,                0.93702,                0.98182,                  0.589,                   1.02,                0.51913,                0.83644,              0.0048795,              0.0048795,              0.0048795
                     18,                 1.1382,                0.51159,                0.86093,                0.98324,                0.94553,                0.97614,                0.61609,                 1.0076,                0.51352,                 0.8355,              0.0045383,              0.0045383,              0.0045383
                     19,                 1.1045,                0.49377,                0.85117,                0.96752,                0.92713,                0.96988,                0.59653,                 0.9545,                0.47567,                0.83043,               0.004197,               0.004197,               0.004197
                     20,                 1.1176,                0.49871,                0.86161,                0.96325,                0.92996,                0.96588,                0.54414,                 1.1028,                0.55787,                0.84163,              0.0038557,              0.0038557,              0.0038557
                     21,                 1.0415,                0.47969,                0.85126,                0.97873,                0.89536,                0.96381,                0.58845,                0.99862,                0.55515,                0.83325,              0.0035144,              0.0035144,              0.0035144
                     22,                 1.0174,                0.45545,                0.84886,                 0.9671,                0.93385,                0.98001,                0.62419,                0.89836,                0.45825,                0.82945,              0.0031731,              0.0031731,              0.0031731
                     23,                 1.0525,                 0.4562,                0.85413,                0.94517,                0.95331,                0.98198,                0.58205,                 1.0428,                0.46804,                0.83729,              0.0028319,              0.0028319,              0.0028319
                     24,                 1.0161,                0.46271,                0.84448,                0.96676,                0.93774,                0.96793,                0.55637,                 1.0913,                0.49022,                0.84105,              0.0024906,              0.0024906,              0.0024906
                     25,                0.98085,                0.44175,                0.84597,                0.97248,                0.95331,                0.98194,                0.57594,                 1.0411,                0.47465,                0.83272,              0.0021493,              0.0021493,              0.0021493
                     26,                 0.9962,                0.43352,                0.84683,                0.96839,                0.95353,                0.98492,                0.59532,                0.97486,                  0.464,                0.83165,               0.001808,               0.001808,               0.001808
                     27,                0.95567,                0.42478,                0.84169,                0.98785,                0.94874,                0.98248,                0.65286,                0.85448,                0.42398,                0.82716,              0.0014668,              0.0014668,              0.0014668
                     28,                0.94057,                0.41806,                0.83689,                0.97609,                0.95313,                0.98147,                 0.6336,                0.86128,                0.43305,                0.82461,              0.0011255,              0.0011255,              0.0011255
                     29,                0.93812,                0.41048,                0.83984,                 0.9879,                0.95273,                0.98563,                 0.6283,                  0.893,                0.43416,                 0.8266,              0.0007842,              0.0007842,              0.0007842
                     30,                 0.9054,                0.40414,                0.84052,                0.97535,                 0.9572,                0.98353,                0.65288,                0.85157,                0.42967,                0.82408,             0.00044292,             0.00044292,             0.00044292
