                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.706,                 18.229,                 1.2065,                0.00127,                 0.0428,                0.00569,                0.00231,                 3.3602,                 5.0933,                 1.3722,               0.044206,               0.004206,               0.004206
                      2,                 2.5431,                 1.4726,                 1.1663,                0.80667,                0.48706,                0.60043,                0.24179,                 2.5207,                 1.6341,                 1.1738,              0.0067791,              0.0067791,              0.0067791
                      3,                 2.1792,                  1.138,                 1.1405,                0.82366,                0.72696,                0.79702,                0.40472,                 1.6716,                 3.0113,                 1.0646,              0.0065483,              0.0065483,              0.0065483
                      4,                 1.9868,                0.94819,                 1.1083,                0.90365,                0.80286,                 0.8553,                0.40831,                 1.7647,                 1.0517,                 1.0605,              0.0063174,              0.0063174,              0.0063174
                      5,                 1.9853,                0.92511,                 1.0923,                0.93723,                0.82101,                0.88486,                0.49049,                 1.6311,                 1.5194,                 1.0532,              0.0060865,              0.0060865,              0.0060865
                      6,                 1.9478,                0.89558,                 1.1129,                0.91032,                0.87938,                0.92838,                0.42845,                 1.8971,                 1.1149,                 1.0787,              0.0058557,              0.0058557,              0.0058557
                      7,                 1.8433,                0.81584,                 1.0997,                0.92379,                0.84893,                0.91783,                0.48024,                 1.6508,                0.81117,                 1.0574,              0.0056248,              0.0056248,              0.0056248
                      8,                 1.8981,                0.87032,                 1.0991,                0.93217,                0.85214,                0.91422,                0.51727,                 1.4241,                 1.4861,                 1.0409,              0.0053939,              0.0053939,              0.0053939
                      9,                 1.8294,                0.84426,                 1.0902,                0.88583,                 0.8453,                0.89823,                0.47778,                 1.7554,                 0.8179,                 1.0727,              0.0051631,              0.0051631,              0.0051631
                     10,                 1.8647,                0.82728,                 1.0928,                0.92032,                0.88716,                0.94184,                0.46008,                  1.691,                0.79601,                 1.0493,              0.0049322,              0.0049322,              0.0049322
                     11,                 1.7688,                0.80853,                 1.0819,                0.90918,                0.91051,                0.93987,                0.55627,                 1.4202,                 0.7816,                 1.0368,              0.0047013,              0.0047013,              0.0047013
                     12,                 1.7998,                0.74459,                 1.1015,                0.92166,                0.93774,                0.95762,                0.57145,                 1.3035,                0.67647,                 1.0427,              0.0044705,              0.0044705,              0.0044705
                     13,                 1.7481,                0.71197,                 1.0892,                0.93972,                0.87549,                0.94446,                0.49984,                 1.6051,                 0.7818,                 1.0549,              0.0042396,              0.0042396,              0.0042396
                     14,                 1.7506,                0.72094,                 1.0885,                0.96645,                0.89679,                0.95761,                0.48741,                 1.7429,                0.79289,                 1.0632,              0.0040088,              0.0040088,              0.0040088
                     15,                 1.6516,                0.68679,                 1.0746,                0.94987,                0.88471,                0.94914,                0.53258,                 1.3534,                0.70448,                 1.0377,              0.0037779,              0.0037779,              0.0037779
                     16,                 1.6801,                 0.7203,                 1.0766,                0.91453,                0.87438,                0.93166,                0.41615,                 1.8999,                0.91211,                 1.0684,               0.003547,               0.003547,               0.003547
                     17,                 1.6206,                0.68113,                 1.0771,                0.95945,                0.92996,                0.95739,                0.56208,                 1.3989,                0.61619,                 1.0384,              0.0033162,              0.0033162,              0.0033162
                     18,                 1.5756,                0.64308,                 1.0735,                0.97076,                 0.8677,                0.95907,                0.55986,                 1.3671,                0.67988,                 1.0369,              0.0030853,              0.0030853,              0.0030853
                     19,                 1.5984,                0.65835,                 1.0866,                0.96696,                0.91094,                0.96794,                 0.5625,                 1.2797,                0.60355,                 1.0317,              0.0028544,              0.0028544,              0.0028544
                     20,                 1.5517,                0.65563,                 1.0767,                0.95221,                0.93385,                0.96932,                  0.508,                 1.6489,                0.68652,                 1.0586,              0.0026236,              0.0026236,              0.0026236
                     21,                  1.509,                0.62605,                 1.0838,                0.96261,                0.92996,                0.97134,                0.59751,                 1.2257,                0.56983,                 1.0325,              0.0023927,              0.0023927,              0.0023927
                     22,                 1.5418,                0.59979,                 1.0774,                0.97509,                0.91405,                0.97303,                0.54932,                  1.419,                0.62546,                 1.0423,              0.0021618,              0.0021618,              0.0021618
                     23,                 1.5114,                0.58067,                 1.0683,                0.92513,                0.91358,                 0.9527,                0.44663,                 2.0972,                0.75033,                 1.0939,               0.001931,               0.001931,               0.001931
                     24,                 1.4798,                 0.5892,                 1.0705,                0.95209,                0.92787,                0.97104,                 0.6258,                 1.2647,                0.58429,                  1.031,              0.0017001,              0.0017001,              0.0017001
                     25,                 1.4858,                0.57223,                 1.0751,                0.95061,                0.92218,                0.96099,                0.45407,                 1.6758,                0.65129,                 1.0548,              0.0014692,              0.0014692,              0.0014692
