                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5733,                 9.2564,                 2.5414,                0.00011,                0.02492,                  8e-05,                  2e-05,                 2.9235,                 4.8228,                 2.0436,             8.2692e-05,             8.2692e-05,             8.2692e-05
                      2,                 2.8688,                 8.3768,                 1.8902,                0.00153,                0.05802,                0.00105,                0.00034,                 2.6573,                  4.414,                 1.8057,             0.00011124,             0.00011124,             0.00011124
                      3,                 2.6462,                  8.049,                   1.74,                0.00252,                0.11351,                0.00484,                0.00136,                 2.3997,                 4.2098,                 1.6687,             8.4782e-05,             8.4782e-05,             8.4782e-05
