                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1742,                0.54703,                0.80987,                 0.9127,                0.81364,                0.90778,                0.52688,                 1.1174,                 0.7803,                0.79967,               0.063464,              0.0035914,              0.0035914
                      2,                 1.3285,                 0.5996,                0.82825,                0.83425,                0.77043,                0.84848,                0.43468,                 1.2166,                0.86462,                0.80583,               0.026109,              0.0070008,              0.0070008
                      3,                 1.3758,                0.67711,                0.82832,                0.85426,                0.70039,                0.79433,                 0.3589,                 1.4899,                 1.0161,                0.84142,              0.0083591,              0.0083591,              0.0083591
                      4,                 1.4014,                0.66405,                0.83459,                0.86313,                0.75875,                  0.845,                0.42742,                 1.4625,                0.97694,                0.83207,              0.0080636,              0.0080636,              0.0080636
                      5,                 1.3438,                0.61961,                0.82967,                0.95205,                0.84989,                  0.928,                0.48256,                 1.2384,                0.73106,                0.80759,              0.0077682,              0.0077682,              0.0077682
                      6,                 1.3915,                0.58998,                0.83448,                0.89401,                0.88327,                0.94091,                0.54727,                 1.1177,                 0.5955,                0.79938,              0.0074727,              0.0074727,              0.0074727
                      7,                 1.3306,                0.59336,                0.82789,                0.89066,                0.91829,                0.94455,                0.55297,                 1.1257,                0.59748,                0.80077,              0.0071773,              0.0071773,              0.0071773
                      8,                 1.2893,                0.56819,                0.82839,                0.91512,                0.83906,                 0.9174,                0.48372,                 1.1886,                0.66396,                0.81736,              0.0068818,              0.0068818,              0.0068818
                      9,                 1.2826,                0.54536,                0.82429,                0.94759,                0.91456,                0.95402,                  0.537,                 1.0968,                0.52537,                0.80286,              0.0065864,              0.0065864,              0.0065864
                     10,                 1.2564,                0.54331,                0.82788,                0.95038,                0.91051,                0.97174,                0.56775,                 1.0218,                0.47227,                0.79704,              0.0062909,              0.0062909,              0.0062909
                     11,                 1.2354,                  0.529,                0.82572,                0.91778,                0.91214,                0.95732,                0.59291,                 1.0385,                0.55808,                0.79751,              0.0059955,              0.0059955,              0.0059955
                     12,                 1.1911,                0.50005,                0.81443,                 0.9018,                0.89105,                0.93507,                0.54511,                  1.041,                0.55747,                0.79333,                 0.0057,                 0.0057,                 0.0057
                     13,                  1.148,                0.49687,                0.81341,                0.96853,                0.91829,                0.97116,                0.59113,                 1.0216,                 0.4548,                0.79632,              0.0054045,              0.0054045,              0.0054045
                     14,                 1.1161,                0.46169,                0.82364,                0.95164,                0.91883,                0.97339,                0.60417,                0.94083,                0.48684,                0.78979,              0.0051091,              0.0051091,              0.0051091
                     15,                 1.1631,                0.49601,                0.81635,                0.97965,                0.93639,                0.97619,                0.50364,                  1.254,                0.52943,                0.80565,              0.0048136,              0.0048136,              0.0048136
                     16,                 1.1421,                0.46631,                0.81906,                0.94462,                0.95331,                0.97385,                 0.5051,                 1.2281,                0.49516,                0.80468,              0.0045182,              0.0045182,              0.0045182
                     17,                 1.0895,                0.44673,                0.81189,                0.97563,                0.93483,                0.97809,                0.55813,                 1.0449,                0.47116,                0.79416,              0.0042227,              0.0042227,              0.0042227
                     18,                 1.0966,                0.44811,                0.81416,                0.97415,                0.93774,                0.97702,                 0.6473,                0.85751,                0.42174,                0.78751,              0.0039273,              0.0039273,              0.0039273
                     19,                 1.0918,                0.42526,                0.82073,                 0.9562,                0.96887,                0.98482,                 0.5839,                0.99173,                0.41321,                0.79131,              0.0036318,              0.0036318,              0.0036318
                     20,                 1.0913,                0.43478,                0.80961,                0.98048,                0.94163,                0.98551,                0.65905,                0.83151,                0.41442,                0.78388,              0.0033364,              0.0033364,              0.0033364
                     21,                 1.0305,                0.44316,                0.80098,                 0.9775,                0.93774,                0.97903,                0.60353,                0.95113,                0.46988,                0.78914,              0.0030409,              0.0030409,              0.0030409
                     22,                 1.0149,                0.41648,                 0.8089,                0.98326,                0.96109,                0.98702,                0.59243,                0.98786,                0.40257,                0.78948,              0.0027455,              0.0027455,              0.0027455
                     23,                 1.0142,                0.40057,                0.80831,                0.98394,                0.95361,                0.98543,                 0.5721,                0.95054,                0.42634,                 0.7906,                0.00245,                0.00245,                0.00245
                     24,                0.98385,                0.39951,                 0.8061,                0.97124,                0.94553,                0.97705,                 0.6051,                0.95308,                0.42068,                0.78848,              0.0021545,              0.0021545,              0.0021545
                     25,                0.97084,                0.37881,                 0.8132,                0.96459,                0.95331,                0.97678,                0.62986,                0.91936,                0.38569,                0.78649,              0.0018591,              0.0018591,              0.0018591
                     26,                0.94641,                0.39978,                0.80719,                0.99089,                0.95331,                0.98883,                0.59151,                0.97987,                 0.4058,                 0.7903,              0.0015636,              0.0015636,              0.0015636
                     27,                0.95779,                0.38811,                 0.8013,                0.98735,                0.96498,                0.98775,                0.62662,                0.92587,                0.37688,                0.78493,              0.0012682,              0.0012682,              0.0012682
                     28,                0.92952,                 0.3708,                0.79247,                0.98006,                0.95625,                0.98707,                0.66883,                0.84765,                0.35705,                0.78275,             0.00097273,             0.00097273,             0.00097273
                     29,                 0.9171,                0.35294,                0.81096,                0.97653,                0.97152,                0.98851,                0.65128,                0.83279,                0.37809,                0.78316,             0.00067728,             0.00067728,             0.00067728
                     30,                0.91604,                0.35595,                0.81451,                0.98411,                0.96422,                0.98631,                0.66516,                0.83691,                0.35371,                0.78271,             0.00038182,             0.00038182,             0.00038182
