                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3073,                 14.727,                0.88044,                      1,                  0.314,                0.63899,                0.24063,                 3.1111,                 1.8274,                0.83399,                0.07352,              0.0018985,              0.0018985
                      2,                 3.1945,                 1.1363,                0.86488,                0.20896,                 0.2179,                0.21894,                0.10272,                 2.9836,                 4.6456,                0.84404,               0.046494,               0.003701,               0.003701
                      3,                 2.8804,                0.91798,                0.84825,                0.74271,                0.81323,                0.82201,                0.38373,                 2.6541,                 4.8522,                0.81953,                0.01934,              0.0053762,              0.0053762
                      4,                 2.6944,                0.86061,                0.84065,                0.80769,                0.74319,                  0.793,                0.34197,                 2.7735,                 5.0407,                0.82598,              0.0060282,              0.0060282,              0.0060282
                      5,                 2.7404,                  0.836,                0.84699,                0.72782,                0.61479,                0.57882,                0.14212,                 3.8456,                 3.7637,                0.86973,              0.0058076,              0.0058076,              0.0058076
                      6,                 2.5622,                0.75784,                0.84226,                0.84179,                0.75875,                0.83236,                0.37366,                 2.9201,                0.96442,                0.83093,               0.005587,               0.005587,               0.005587
                      7,                 2.6514,                 0.7883,                0.84395,                0.86081,                0.81817,                0.88433,                0.47052,                 2.0646,                0.87496,                0.79019,              0.0053664,              0.0053664,              0.0053664
                      8,                 2.4073,                 0.6888,                0.83171,                0.94655,                0.82696,                0.91377,                0.45585,                 2.2764,                 1.1838,                0.80259,              0.0051458,              0.0051458,              0.0051458
                      9,                   2.59,                0.75579,                0.83524,                0.94356,                0.84559,                0.90719,                0.43541,                 2.4654,                 0.8165,                0.81346,              0.0049252,              0.0049252,              0.0049252
                     10,                 2.5859,                0.70938,                0.82974,                0.95702,                0.86649,                0.93481,                0.48896,                 2.2002,                0.66994,                0.80754,              0.0047046,              0.0047046,              0.0047046
                     11,                 2.6532,                0.74088,                0.84087,                0.93709,                0.80545,                0.90373,                0.44933,                 2.6745,                0.75506,                0.82912,               0.004484,               0.004484,               0.004484
                     12,                  2.377,                0.66994,                0.82539,                 0.9172,                0.84825,                0.92829,                0.45273,                 2.2127,                0.87031,                0.80466,              0.0042634,              0.0042634,              0.0042634
                     13,                 2.4291,                0.63805,                0.81903,                0.94061,                 0.8627,                0.93191,                0.48978,                 2.1658,                0.62629,                0.80194,              0.0040428,              0.0040428,              0.0040428
                     14,                 2.4349,                0.65412,                0.82043,                0.93509,                 0.8968,                0.94491,                0.53001,                 1.9834,                0.61438,                0.79445,              0.0038222,              0.0038222,              0.0038222
                     15,                 2.3539,                0.61986,                0.82002,                0.92976,                0.88716,                0.93668,                0.51899,                 2.1361,                0.71688,                0.80665,              0.0036016,              0.0036016,              0.0036016
                     16,                 2.2758,                0.60187,                0.82523,                 0.9435,                0.90973,                0.95456,                0.55316,                 2.0414,                0.62076,                0.80298,               0.003381,               0.003381,               0.003381
                     17,                 2.2409,                0.58356,                0.81657,                0.94648,                0.89457,                0.95055,                0.59797,                 1.7373,                0.54589,                0.79396,              0.0031604,              0.0031604,              0.0031604
                     18,                 2.1732,                0.57022,                0.81871,                0.96144,                0.91051,                0.95335,                0.57094,                 1.8333,                0.55678,                0.79556,              0.0029398,              0.0029398,              0.0029398
                     19,                 2.1479,                0.56389,                0.80944,                0.96053,                0.85219,                0.92576,                0.46022,                 2.4411,                0.81122,                0.81029,              0.0027192,              0.0027192,              0.0027192
                     20,                 2.1329,                 0.5546,                0.80942,                 0.9676,                0.88327,                0.96074,                 0.5331,                 2.0562,                0.57938,                0.79882,              0.0024986,              0.0024986,              0.0024986
                     21,                 2.0124,                0.54657,                0.81664,                0.98069,                0.89105,                0.96016,                0.54903,                 1.9579,                0.54784,                0.79202,               0.002278,               0.002278,               0.002278
                     22,                 2.0512,                0.53101,                0.81388,                0.91369,                0.90622,                0.94815,                0.56562,                 1.7997,                0.51719,                0.79266,              0.0020574,              0.0020574,              0.0020574
                     23,                 2.0199,                0.52558,                0.81388,                0.92841,                0.91829,                0.95588,                0.51329,                 1.9545,                0.58927,                0.79479,              0.0018368,              0.0018368,              0.0018368
                     24,                 2.0047,                0.51729,                 0.8158,                0.94417,                0.93774,                0.97633,                 0.6262,                 1.5776,                0.45985,                0.78614,              0.0016162,              0.0016162,              0.0016162
                     25,                 1.9488,                0.47223,                0.81117,                0.94819,                0.92567,                0.96647,                0.52879,                 2.0772,                0.52281,                0.79267,              0.0013956,              0.0013956,              0.0013956
                     26,                 1.9513,                0.48366,                0.80858,                 0.9369,                 0.9244,                0.96416,                0.55861,                 1.8492,                0.48661,                0.79076,               0.001175,               0.001175,               0.001175
                     27,                  1.961,                0.49354,                0.79338,                0.96502,                0.89883,                0.96753,                 0.5792,                 1.8021,                0.47224,                 0.7834,             0.00095444,             0.00095444,             0.00095444
                     28,                 1.9526,                0.47906,                0.80334,                 0.9602,                0.93871,                 0.9703,                0.62931,                 1.6339,                0.47616,                0.78126,             0.00073385,             0.00073385,             0.00073385
                     29,                 1.9227,                0.47381,                0.80048,                0.94369,                0.93385,                0.97547,                0.57285,                 1.8081,                0.49356,                0.78533,             0.00051325,             0.00051325,             0.00051325
                     30,                 1.8849,                0.45664,                0.80376,                0.96058,                 0.9481,                0.97687,                0.62173,                 1.6535,                0.44884,                0.78169,             0.00029265,             0.00029265,             0.00029265
