                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.181,                0.59773,                0.78263,                 0.9123,                 0.7286,                0.88493,                0.50597,                 1.2351,                 1.2166,                0.77582,               0.071511,              0.0030114,              0.0030114
                      2,                 1.2994,                0.68279,                0.79199,                0.91045,                0.83658,                0.90886,                0.41156,                 1.5309,                0.89123,                0.80066,                0.04237,              0.0058702,              0.0058702
                      3,                 1.4031,                 0.7013,                 0.8016,                0.88473,                0.89883,                0.91107,                0.49061,                 1.1078,                0.90499,                 0.7688,               0.013027,               0.008527,               0.008527
                      4,                 1.3736,                0.69168,                0.80034,                0.95447,                0.85992,                  0.915,                0.40988,                 1.2919,                0.81699,                0.77413,              0.0086132,              0.0086132,              0.0086132
                      5,                 1.3195,                0.65798,                0.79234,                0.89655,                0.85603,                 0.9035,                0.37911,                 1.4379,                 1.1712,                0.79147,              0.0082977,              0.0082977,              0.0082977
                      6,                 1.2662,                0.62726,                0.79623,                0.91278,                0.80545,                0.91693,                0.47867,                 1.1783,                 1.0179,                0.77797,              0.0079821,              0.0079821,              0.0079821
                      7,                 1.2251,                0.60489,                0.78861,                0.85449,                0.86381,                0.89559,                0.46428,                 1.3049,                 1.1427,                0.77988,              0.0076665,              0.0076665,              0.0076665
                      8,                 1.2133,                0.60118,                 0.7869,                0.94677,                0.85603,                0.93973,                 0.4942,                 1.1764,                0.75825,                0.77296,              0.0073509,              0.0073509,              0.0073509
                      9,                 1.2334,                 0.6412,                0.78489,                 0.8875,                0.85214,                0.92388,                0.47701,                 1.2215,                0.80149,                0.77453,              0.0070353,              0.0070353,              0.0070353
                     10,                 1.2377,                0.60887,                0.78065,                0.93149,                0.89937,                0.93966,                0.54264,                 1.1009,                0.67637,                 0.7668,              0.0067197,              0.0067197,              0.0067197
                     11,                 1.2159,                0.57733,                0.78199,                0.96965,                0.91051,                0.96637,                0.50259,                 1.0865,                0.57316,                 0.7685,              0.0064041,              0.0064041,              0.0064041
                     12,                 1.1314,                 0.5474,                0.78564,                0.96086,                0.94163,                0.97945,                0.58457,                0.95576,                0.50576,                0.75853,              0.0060886,              0.0060886,              0.0060886
                     13,                   1.12,                0.53744,                0.77545,                 0.9583,                 0.8942,                0.95147,                0.48592,                 1.2436,                0.63999,                0.77459,               0.005773,               0.005773,               0.005773
                     14,                 1.1217,                0.53855,                0.78199,                0.92404,                0.91051,                0.95932,                0.52958,                 1.1075,                0.64967,                0.77659,              0.0054574,              0.0054574,              0.0054574
                     15,                 1.1528,                0.54583,                0.77965,                 0.9688,                0.90661,                0.96188,                0.55862,                 1.0111,                0.56475,                0.76336,              0.0051418,              0.0051418,              0.0051418
                     16,                 1.1439,                0.54079,                0.78459,                  0.964,                0.89883,                0.96602,                0.58844,                0.98786,                0.51197,                0.75784,              0.0048262,              0.0048262,              0.0048262
                     17,                 1.1613,                 0.5465,                0.78065,                0.95935,                 0.9184,                0.96667,                0.57208,                 1.0197,                0.50805,                0.75969,              0.0045106,              0.0045106,              0.0045106
                     18,                 1.1097,                0.51294,                0.77256,                0.96923,                0.94163,                0.97294,                0.59864,                0.86554,                0.50483,                0.75282,              0.0041951,              0.0041951,              0.0041951
                     19,                 1.0539,                0.48453,                0.77257,                0.98166,                0.97276,                0.98783,                  0.574,                0.98168,                0.45779,                0.75692,              0.0038795,              0.0038795,              0.0038795
                     20,                 1.0602,                0.48175,                0.77634,                0.96385,                0.93362,                0.98482,                0.65299,                0.89419,                0.51956,                0.75507,              0.0035639,              0.0035639,              0.0035639
                     21,                 1.0338,                 0.4937,                0.77252,                0.99176,                 0.9369,                0.98477,                0.62266,                0.91585,                0.51816,                0.75355,              0.0032483,              0.0032483,              0.0032483
                     22,                 1.0139,                0.46988,                0.76712,                0.97636,                0.96419,                0.98306,                0.61853,                0.91771,                0.47225,                0.75446,              0.0029327,              0.0029327,              0.0029327
                     23,                  1.056,                0.48344,                0.78011,                0.96137,                0.98054,                0.98635,                0.58053,                 1.0119,                 0.4571,                0.75866,              0.0026171,              0.0026171,              0.0026171
                     24,                 1.0079,                0.47163,                0.77436,                0.98034,                0.96991,                0.98435,                0.63152,                0.84936,                0.44069,                0.75154,              0.0023015,              0.0023015,              0.0023015
                     25,                0.97416,                0.45654,                0.77386,                0.99168,                 0.9572,                0.98414,                0.61371,                0.89829,                0.47184,                0.75549,               0.001986,               0.001986,               0.001986
                     26,                0.95087,                0.44991,                0.76609,                0.96896,                0.97183,                  0.987,                0.58801,                  1.007,                0.44115,                0.75592,              0.0016704,              0.0016704,              0.0016704
                     27,                0.95852,                0.45116,                0.76923,                0.97528,                0.96109,                0.98579,                0.56578,                 1.0501,                0.47198,                0.75819,              0.0013548,              0.0013548,              0.0013548
                     28,                0.91041,                0.41528,                0.76745,                0.96862,                  0.961,                0.98437,                0.64049,                 0.8436,                 0.4272,                0.74973,              0.0010392,              0.0010392,              0.0010392
                     29,                0.92688,                0.40817,                0.76332,                  0.979,                0.97276,                0.98702,                0.65331,                0.79096,                0.40019,                0.74878,             0.00072362,             0.00072362,             0.00072362
                     30,                0.91074,                0.40905,                0.77727,                0.96905,                0.97448,                0.98742,                0.66819,                0.81773,                0.41142,                0.74738,             0.00040803,             0.00040803,             0.00040803
