                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3569,                0.59743,                0.66765,                0.93504,                0.89105,                0.94982,                0.55307,                 1.1425,                 0.9288,                0.64745,               0.074574,              0.0028251,              0.0028251
                      2,                 1.5288,                0.74751,                0.67841,                0.80479,                0.81814,                0.86378,                0.41785,                 1.4835,                 1.0531,                0.66588,               0.048557,              0.0055074,              0.0055074
                      3,                 1.6144,                0.85996,                0.69038,                0.87778,                0.79767,                0.86831,                0.42302,                  1.427,                 1.2294,                0.66344,                0.02235,              0.0080005,              0.0080005
                      4,                 1.6849,                0.83058,                0.69581,                0.62909,                0.67315,                0.73231,                0.40285,                 1.5232,                 2.2542,                0.66904,              0.0090114,              0.0090114,              0.0090114
                      5,                 1.5767,                0.70715,                0.69512,                0.89586,                0.83679,                 0.9124,                0.49164,                 1.4135,                0.74973,                0.67759,              0.0086819,              0.0086819,              0.0086819
                      6,                 1.4963,                0.71538,                0.68439,                0.94097,                0.42412,                0.64202,                0.37791,                 1.3447,                 2.6068,                0.66627,              0.0083523,              0.0083523,              0.0083523
                      7,                 1.5198,                0.71927,                0.69081,                0.91581,                0.81712,                0.89891,                0.46668,                 1.4519,                0.78322,                0.66526,              0.0080228,              0.0080228,              0.0080228
                      8,                  1.473,                  0.696,                0.68041,                0.96226,                0.89282,                0.94731,                0.56116,                 1.2348,                0.59121,                0.65396,              0.0076933,              0.0076933,              0.0076933
                      9,                 1.3799,                0.64862,                0.68008,                0.93868,                0.89344,                0.94541,                0.53309,                 1.1684,                0.65098,                0.65605,              0.0073637,              0.0073637,              0.0073637
                     10,                 1.4365,                0.65488,                 0.6837,                0.93739,                0.87388,                0.94287,                0.50118,                 1.3264,                0.73341,                0.66205,              0.0070342,              0.0070342,              0.0070342
                     11,                 1.3926,                0.61371,                0.67617,                0.87788,                0.84047,                0.90249,                0.40108,                 1.5553,                0.82515,                0.67323,              0.0067047,              0.0067047,              0.0067047
                     12,                 1.4007,                0.60571,                0.68297,                0.93141,                 0.8983,                0.94617,                0.49665,                 1.4917,                0.63559,                0.67313,              0.0063751,              0.0063751,              0.0063751
                     13,                 1.3307,                0.60249,                0.66944,                0.93401,                0.82609,                 0.9309,                0.52943,                 1.2219,                0.66995,                0.65398,              0.0060456,              0.0060456,              0.0060456
                     14,                 1.3555,                 0.5956,                0.67579,                0.93781,                0.93889,                 0.9605,                0.53182,                 1.2101,                0.55951,                0.65308,              0.0057161,              0.0057161,              0.0057161
                     15,                 1.3681,                0.57805,                0.67807,                0.97545,                0.92764,                0.96335,                0.52463,                 1.3025,                0.55533,                0.66172,              0.0053865,              0.0053865,              0.0053865
                     16,                 1.2752,                 0.5575,                 0.6812,                0.95225,                0.93114,                0.96677,                0.53702,                 1.2124,                0.55064,                0.65256,               0.005057,               0.005057,               0.005057
                     17,                 1.2815,                0.55646,                0.66576,                0.96711,                 0.9153,                0.97054,                0.57672,                 1.1439,                0.52658,                0.64871,              0.0047275,              0.0047275,              0.0047275
                     18,                 1.2983,                0.56175,                0.67305,                0.95934,                0.92996,                0.96383,                0.51325,                  1.202,                0.56918,                0.65148,              0.0043979,              0.0043979,              0.0043979
                     19,                 1.2575,                0.54472,                0.67131,                0.94563,                0.94751,                0.97132,                0.58824,                 1.1313,                0.53284,                0.65098,              0.0040684,              0.0040684,              0.0040684
                     20,                 1.2311,                0.51972,                 0.6657,                0.97165,                0.93364,                 0.9724,                0.59837,                 1.0825,                0.46102,                0.64519,              0.0037389,              0.0037389,              0.0037389
                     21,                 1.1557,                0.49641,                0.66924,                0.96105,                0.92607,                  0.974,                0.60096,                 1.0153,                0.51292,                0.64686,              0.0034093,              0.0034093,              0.0034093
                     22,                 1.1456,                0.49312,                 0.6769,                0.96976,                0.92996,                0.96984,                0.59342,                 1.1534,                0.49524,                0.65262,              0.0030798,              0.0030798,              0.0030798
                     23,                 1.1672,                0.48551,                0.67366,                0.96649,                0.94553,                 0.9809,                0.59552,                 1.0698,                0.48425,                0.64853,              0.0027503,              0.0027503,              0.0027503
                     24,                 1.1457,                0.50303,                0.66717,                0.98745,                0.91812,                0.97524,                0.59982,                 1.0944,                0.48946,                0.64793,              0.0024207,              0.0024207,              0.0024207
                     25,                 1.0969,                0.46157,                0.67371,                0.96823,                0.94859,                0.98162,                0.59243,                 1.1313,                0.47175,                0.64845,              0.0020912,              0.0020912,              0.0020912
                     26,                  1.094,                0.44565,                0.66444,                0.97264,                0.96814,                0.98635,                0.62065,                 1.0999,                0.45533,                0.64676,              0.0017617,              0.0017617,              0.0017617
                     27,                 1.0735,                0.46305,                0.65228,                0.95854,                0.96498,                0.98274,                0.61563,                 1.0318,                0.46395,                0.64408,              0.0014321,              0.0014321,              0.0014321
                     28,                 1.0499,                0.42834,                0.66406,                 0.9723,                0.95591,                0.98362,                0.61047,                 1.0629,                0.45379,                0.64687,              0.0011026,              0.0011026,              0.0011026
                     29,                 1.0404,                0.42318,                0.66464,                0.96971,                0.94942,                 0.9824,                0.64599,                0.95412,                0.41482,                0.64148,             0.00077307,             0.00077307,             0.00077307
                     30,                 1.0254,                0.41248,                0.65966,                0.96525,                0.97286,                0.98584,                0.63984,                0.95907,                0.41314,                 0.6425,             0.00044353,             0.00044353,             0.00044353
