                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.61685,                0.35349,                0.81467,                0.99716,                0.99556,                  0.995,                0.87956,                0.51392,                0.31282,                0.79812,             0.00066298,             0.00066298,             0.00066298
                      2,                0.61509,                0.35201,                0.81409,                0.99831,                0.99421,                  0.995,                0.88667,                0.51076,                0.30593,                0.79701,              0.0013165,              0.0013165,              0.0013165
                      3,                0.61763,                0.35571,                0.81566,                 0.9979,                0.99483,                0.99499,                0.88076,                0.49773,                 0.3095,                0.79592,              0.0019568,              0.0019568,              0.0019568
                      4,                0.61931,                0.34447,                0.81595,                0.99747,                0.99594,                0.99499,                0.88511,                0.49442,                0.30259,                0.79531,              0.0019406,              0.0019406,              0.0019406
                      5,                0.59834,                0.33407,                0.81155,                0.99825,                 0.9947,                  0.995,                0.88499,                0.49613,                0.30334,                0.79539,              0.0019208,              0.0019208,              0.0019208
                      6,                0.59697,                0.33462,                0.81206,                0.99643,                0.99642,                0.99497,                0.89484,                0.47419,                0.29943,                0.79244,               0.001901,               0.001901,               0.001901
                      7,                0.58785,                0.32792,                0.81074,                0.99778,                 0.9965,                  0.995,                0.89281,                0.48262,                0.29366,                0.79235,              0.0018812,              0.0018812,              0.0018812
                      8,                 0.5738,                0.32002,                0.80828,                0.99729,                0.99729,                  0.995,                0.89747,                0.47261,                0.30279,                0.79044,              0.0018614,              0.0018614,              0.0018614
                      9,                0.58229,                0.32448,                0.80944,                0.99815,                0.99678,                  0.995,                0.89512,                0.48282,                 0.2984,                0.79119,              0.0018416,              0.0018416,              0.0018416
                     10,                0.57556,                 0.3207,                0.80869,                0.99807,                 0.9968,                0.99489,                0.89795,                0.48293,                0.28867,                0.79065,              0.0018218,              0.0018218,              0.0018218
