                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1766,                0.60742,                0.76605,                0.77827,                 0.6419,                0.71265,                 0.2881,                  1.654,                 1.5295,                0.78839,               0.071549,              0.0030492,              0.0030492
                      2,                 1.2916,                0.69254,                0.78019,                 0.8578,                0.75114,                0.83901,                0.35082,                 1.4553,                 1.3725,                0.77138,               0.042444,               0.005944,               0.005944
                      3,                 1.3482,                0.71076,                0.77754,                0.89498,                0.89532,                0.92394,                0.47101,                 1.2476,                0.80388,                0.76493,               0.013134,              0.0086343,              0.0086343
                      4,                 1.3343,                0.71644,                0.78767,                0.93724,                 0.8249,                0.90611,                 0.5013,                 1.1938,                0.80333,                0.75758,              0.0087218,              0.0087218,              0.0087218
                      5,                 1.3491,                0.69777,                0.77965,                0.88691,                0.79344,                0.86848,                0.42564,                  1.279,                0.95088,                0.76532,              0.0084024,              0.0084024,              0.0084024
                      6,                 1.2541,                0.65382,                0.77996,                0.94434,                0.91051,                0.95258,                0.52988,                  1.095,                 0.6919,                 0.7509,              0.0080829,              0.0080829,              0.0080829
                      7,                 1.2353,                0.61164,                0.77334,                0.96584,                0.88327,                0.95124,                0.52358,                 1.1508,                0.72935,                0.75503,              0.0077635,              0.0077635,              0.0077635
                      8,                 1.2574,                0.60566,                0.77218,                0.95959,                0.92406,                0.96995,                0.53302,                 1.0694,                0.56292,                0.75161,              0.0074441,              0.0074441,              0.0074441
                      9,                 1.2182,                0.59053,                0.77442,                0.91755,                0.85992,                0.93462,                0.50227,                 1.1201,                0.74594,                0.75213,              0.0071247,              0.0071247,              0.0071247
                     10,                 1.2235,                0.60132,                0.76988,                0.92389,                0.89738,                0.94752,                0.45023,                  1.191,                0.67153,                0.75919,              0.0068053,              0.0068053,              0.0068053
                     11,                 1.1761,                0.57037,                0.77006,                0.96323,                0.88716,                 0.9604,                0.55673,                 1.0494,                0.66871,                0.74789,              0.0064859,              0.0064859,              0.0064859
                     12,                 1.1433,                0.54694,                0.76614,                0.91505,                0.90661,                0.95457,                0.56776,                 1.0754,                0.62849,                0.74981,              0.0061665,              0.0061665,              0.0061665
                     13,                 1.1478,                 0.5602,                0.76644,                0.96159,                0.91051,                0.96916,                0.51538,                 1.1271,                0.57302,                 0.7564,              0.0058471,              0.0058471,              0.0058471
                     14,                 1.1781,                0.54014,                0.76919,                0.96332,                0.91959,                 0.9639,                0.55278,                 1.0601,                0.53046,                0.75311,              0.0055277,              0.0055277,              0.0055277
                     15,                 1.1653,                 0.5297,                0.76598,                0.95472,                0.92607,                0.96606,                0.52638,                 1.1092,                0.52939,                0.75235,              0.0052082,              0.0052082,              0.0052082
                     16,                 1.0903,                0.52698,                 0.7629,                0.92383,                0.94553,                0.96335,                0.55137,                 1.0631,                  0.537,                0.74898,              0.0048888,              0.0048888,              0.0048888
                     17,                  1.101,                 0.5146,                0.76471,                0.93178,                0.96498,                 0.9766,                0.56244,                 1.0631,                 0.5142,                0.74583,              0.0045694,              0.0045694,              0.0045694
                     18,                 1.1691,                0.53937,                 0.7643,                0.95276,                0.94179,                0.98387,                0.57424,                 1.0129,                 0.5734,                0.74743,                0.00425,                0.00425,                0.00425
                     19,                 1.0939,                 0.5138,                0.76332,                0.97241,                0.95988,                0.98372,                0.61752,                0.88858,                0.43929,                0.74116,              0.0039306,              0.0039306,              0.0039306
                     20,                 1.0654,                0.48478,                0.76304,                0.94962,                0.95346,                0.98394,                0.60662,                0.94091,                0.46061,                0.74306,              0.0036112,              0.0036112,              0.0036112
                     21,                0.99262,                0.47003,                0.75541,                0.96852,                0.95768,                0.98367,                0.57555,                 1.0091,                0.46754,                0.74565,              0.0032918,              0.0032918,              0.0032918
                     22,                0.99682,                0.47436,                0.75225,                0.96494,                0.93385,                0.98061,                0.63899,                0.84167,                0.49728,                0.73915,              0.0029724,              0.0029724,              0.0029724
                     23,                 1.0186,                0.48454,                0.75867,                0.98023,                0.96109,                 0.9865,                0.59844,                0.92355,                0.44741,                0.74423,               0.002653,               0.002653,               0.002653
                     24,                0.96993,                0.45775,                0.75591,                0.98026,                0.96498,                 0.9878,                0.56485,                 1.0384,                0.47007,                0.74186,              0.0023335,              0.0023335,              0.0023335
                     25,                0.92676,                 0.4419,                0.75729,                0.96502,                0.96616,                0.98407,                0.59478,                0.94794,                0.42996,                0.74169,              0.0020141,              0.0020141,              0.0020141
                     26,                0.92544,                0.43944,                0.75556,                  0.988,                0.96081,                0.98925,                0.60556,                0.99448,                0.46632,                0.74134,              0.0016947,              0.0016947,              0.0016947
                     27,                0.94618,                0.43446,                0.75181,                0.96887,                0.96886,                0.98527,                 0.6234,                0.91682,                0.41464,                0.73779,              0.0013753,              0.0013753,              0.0013753
                     28,                0.92515,                0.41101,                0.75043,                0.95787,                0.97318,                0.98528,                 0.6581,                0.78027,                0.41383,                0.73518,              0.0010559,              0.0010559,              0.0010559
                     29,                0.90235,                0.41209,                0.75807,                0.97005,                 0.9572,                0.98166,                0.65852,                0.76352,                0.39026,                0.73266,             0.00073649,             0.00073649,             0.00073649
                     30,                0.89637,                0.40111,                0.77233,                0.97792,                0.96498,                 0.9866,                0.65095,                 0.8157,                0.40605,                0.73565,             0.00041708,             0.00041708,             0.00041708
