                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5748,                 15.134,                0.80963,                0.86099,                0.45791,                0.63655,                0.21186,                 2.6089,                 1.6281,                0.77579,               0.071245,              0.0021278,              0.0021278
                      2,                 2.4441,                 1.1117,                0.78731,                0.78488,                0.70039,                0.75685,                0.27829,                 2.4457,                 3.1502,                0.77687,               0.041893,              0.0041481,              0.0041481
                      3,                 2.2512,                0.90661,                0.77963,                0.85962,                0.73865,                0.81965,                0.34701,                 2.3452,                 1.6164,                0.76265,               0.012398,              0.0060259,              0.0060259
                      4,                 2.2046,                0.85805,                0.78873,                0.83325,                0.76654,                0.78024,                0.29778,                 2.2795,                 2.9617,                0.77114,               0.006209,               0.006209,               0.006209
                      5,                 2.1951,                0.81216,                0.76843,                0.85543,                0.80581,                0.85683,                0.46676,                 1.7896,                0.86074,                0.73178,               0.005982,               0.005982,               0.005982
                      6,                 1.9791,                0.77195,                0.76732,                0.83128,                  0.607,                0.70292,                0.32806,                  2.084,                 1.5035,                0.75928,              0.0057551,              0.0057551,              0.0057551
                      7,                 1.9571,                0.71912,                0.76569,                 0.9486,                0.83658,                0.91761,                0.49764,                 1.6428,                 0.8928,                0.73708,              0.0055281,              0.0055281,              0.0055281
                      8,                 2.0255,                0.77602,                0.76638,                0.84129,                0.75097,                 0.8215,                0.44588,                 1.6978,                 1.1255,                0.74186,              0.0053011,              0.0053011,              0.0053011
                      9,                 1.9576,                0.71566,                0.76461,                0.89049,                0.87549,                0.91833,                0.47911,                 1.7549,                0.71408,                 0.7393,              0.0050741,              0.0050741,              0.0050741
                     10,                 1.9349,                0.67003,                  0.763,                0.95503,                0.90906,                0.95831,                0.50299,                 1.7349,                0.67262,                0.74134,              0.0048471,              0.0048471,              0.0048471
                     11,                 1.9233,                0.64919,                0.75809,                0.95928,                0.93385,                0.96665,                 0.5252,                 1.6934,                0.62601,                0.73478,              0.0046201,              0.0046201,              0.0046201
                     12,                  1.859,                 0.6362,                  0.759,                0.94406,                 0.8677,                  0.935,                0.47537,                 1.7294,                0.70462,                 0.7391,              0.0043931,              0.0043931,              0.0043931
                     13,                 1.8292,                0.60959,                0.74577,                0.96619,                0.91051,                0.95716,                0.57386,                 1.5373,                0.54974,                0.72486,              0.0041661,              0.0041661,              0.0041661
                     14,                 1.7799,                0.60311,                0.75922,                0.95919,                0.91829,                0.95748,                0.49899,                 1.7577,                0.59274,                0.73358,              0.0039391,              0.0039391,              0.0039391
                     15,                 1.7215,                0.56404,                0.74498,                0.93954,                0.90698,                0.94945,                0.47968,                 1.8656,                0.65213,                0.74128,              0.0037122,              0.0037122,              0.0037122
                     16,                 1.7308,                0.60644,                0.74939,                0.93562,                 0.9048,                0.96117,                0.54436,                 1.4848,                 0.5311,                0.72427,              0.0034852,              0.0034852,              0.0034852
                     17,                 1.7103,                0.56809,                0.74123,                0.95314,                0.92218,                0.96905,                0.51223,                 1.7481,                0.60239,                0.72934,              0.0032582,              0.0032582,              0.0032582
                     18,                 1.7051,                0.57387,                0.74803,                0.94465,                0.93385,                0.97022,                0.47201,                 1.8407,                0.64725,                0.73527,              0.0030312,              0.0030312,              0.0030312
                     19,                 1.6623,                0.56326,                0.74208,                0.94745,                0.91196,                 0.9608,                0.54168,                 1.4272,                0.61415,                0.72325,              0.0028042,              0.0028042,              0.0028042
                     20,                 1.6412,                0.53842,                 0.7421,                0.97924,                0.91748,                0.97313,                0.52694,                 1.6248,                 0.5835,                0.72641,              0.0025772,              0.0025772,              0.0025772
                     21,                 1.6249,                0.58405,                0.74367,                0.96487,                 0.9144,                 0.9701,                0.56245,                 1.5402,                0.57664,                0.72525,              0.0023502,              0.0023502,              0.0023502
                     22,                 1.6318,                0.57553,                0.74575,                0.96319,                0.91647,                0.96663,                 0.5713,                 1.4177,                0.54385,                0.72085,              0.0021232,              0.0021232,              0.0021232
                     23,                  1.619,                0.58052,                 0.7424,                0.95202,                0.92996,                0.96031,                0.56214,                 1.5058,                0.56448,                0.72343,              0.0018962,              0.0018962,              0.0018962
                     24,                  1.598,                0.54832,                0.73985,                0.95938,                0.94553,                0.97245,                0.56427,                 1.5146,                 0.5375,                0.72119,              0.0016693,              0.0016693,              0.0016693
                     25,                 1.5808,                0.50646,                0.74331,                0.98326,                0.91446,                0.96433,                0.46212,                 1.9175,                0.58258,                0.73527,              0.0014423,              0.0014423,              0.0014423
                     26,                 1.5743,                0.50503,                0.72901,                0.94797,                0.93774,                0.96132,                0.51122,                 1.8004,                0.54417,                0.73145,              0.0012153,              0.0012153,              0.0012153
                     27,                 1.5651,                0.48562,                0.73554,                0.98405,                0.96048,                0.98399,                0.62723,                 1.3275,                0.47894,                0.71646,             0.00098829,             0.00098829,             0.00098829
                     28,                 1.5264,                 0.4833,                0.73925,                0.95936,                0.94163,                 0.9748,                0.59684,                 1.3054,                0.50734,                0.71575,              0.0007613,              0.0007613,              0.0007613
                     29,                 1.4777,                0.46591,                0.73945,                0.96957,                0.94163,                0.97577,                0.58215,                 1.4769,                0.48118,                0.72105,             0.00053431,             0.00053431,             0.00053431
                     30,                 1.4751,                0.45618,                0.74327,                0.97427,                0.96109,                0.98417,                0.65726,                  1.282,                0.44942,                  0.716,             0.00030733,             0.00030733,             0.00030733
