                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8597,                 16.131,                 1.2874,                0.63265,                0.72374,                0.74611,                0.37392,                 2.4506,                 2.8761,                 1.2191,               0.064628,              0.0030424,              0.0030424
                      2,                 2.6598,                 1.2297,                 1.2429,                0.72105,                0.53307,                0.66943,                0.30063,                 2.6798,                 3.2995,                 1.2729,               0.028492,              0.0059311,              0.0059311
                      3,                 2.3873,                 1.0105,                  1.226,                0.83264,                0.76654,                0.81531,                0.30862,                 2.5456,                 1.5497,                 1.2279,              0.0073981,              0.0073981,              0.0073981
                      4,                 2.3196,                0.97148,                 1.2174,                0.87465,                0.82879,                0.88726,                0.42273,                  2.134,                 4.3488,                 1.1772,              0.0071371,              0.0071371,              0.0071371
                      5,                 2.2468,                0.87808,                    1.2,                0.87416,                0.81086,                0.89016,                 0.4519,                 2.0171,                 1.2302,                 1.1666,              0.0068762,              0.0068762,              0.0068762
                      6,                 2.1312,                 0.8124,                 1.1941,                0.89783,                0.83268,                0.89361,                0.41365,                 2.0432,                0.97111,                 1.1693,              0.0066152,              0.0066152,              0.0066152
                      7,                 2.1098,                0.77513,                  1.192,                0.91652,                0.85437,                0.92272,                0.44401,                 2.1956,                0.96751,                 1.1804,              0.0063542,              0.0063542,              0.0063542
                      8,                 2.0729,                0.79831,                 1.1918,                0.89841,                0.85603,                 0.9054,                0.49771,                 1.7416,                 1.0795,                 1.1472,              0.0060933,              0.0060933,              0.0060933
                      9,                 1.9407,                0.73082,                 1.1872,                0.96515,                0.89883,                0.95116,                0.55114,                 1.5835,                0.68268,                 1.1457,              0.0058323,              0.0058323,              0.0058323
                     10,                 1.9518,                0.70233,                 1.1739,                0.92253,                0.88039,                0.95482,                0.56464,                 1.5907,                0.71125,                 1.1485,              0.0055713,              0.0055713,              0.0055713
                     11,                 2.0163,                0.68759,                 1.1649,                0.93978,                0.91087,                 0.9571,                0.54595,                   1.69,                0.83849,                 1.1482,              0.0053104,              0.0053104,              0.0053104
                     12,                 1.9758,                0.67515,                 1.1836,                0.93687,                0.92388,                0.96499,                0.52623,                 1.7941,                0.67701,                 1.1562,              0.0050494,              0.0050494,              0.0050494
                     13,                 1.9128,                0.66702,                 1.1867,                0.97866,                0.87938,                0.94661,                0.59097,                 1.5537,                0.60117,                 1.1482,              0.0047885,              0.0047885,              0.0047885
                     14,                 1.9311,                  0.678,                  1.178,                0.94874,                0.93621,                0.96017,                0.57049,                 1.5009,                0.85462,                 1.1477,              0.0045275,              0.0045275,              0.0045275
                     15,                  1.947,                0.65558,                 1.1731,                0.93889,                0.89679,                0.95928,                0.51751,                 1.7537,                0.60256,                 1.1479,              0.0042665,              0.0042665,              0.0042665
