                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2403,                0.64953,                0.72383,                 0.7801,                0.57977,                0.71892,                0.36624,                 1.6151,                 2.5419,                0.73599,               0.060257,               0.004623,               0.004623
                      2,                 1.3746,                0.78662,                0.73239,                 0.5202,                0.50202,                0.49246,                0.20488,                 1.5986,                  9.216,                0.73224,               0.019575,              0.0090115,              0.0090115
                      3,                  1.495,                0.85494,                0.73803,                 0.9117,                0.82101,                0.87424,                0.33021,                 1.6968,                0.94648,                0.75606,              0.0097317,              0.0097317,              0.0097317
                      4,                 1.4563,                0.82609,                 0.7509,                 0.8494,                  0.607,                0.65594,                  0.333,                 1.4457,                 1.5935,                0.72405,              0.0093875,              0.0093875,              0.0093875
                      5,                  1.362,                0.75778,                0.73228,                0.74783,                0.48249,                0.61597,                0.29511,                 1.3998,                 2.2582,                 0.7142,              0.0090433,              0.0090433,              0.0090433
                      6,                  1.393,                0.70743,                0.73977,                0.93788,                0.87549,                0.93851,                0.44708,                 1.2435,                 0.7658,                0.71749,              0.0086992,              0.0086992,              0.0086992
                      7,                 1.3999,                0.74841,                0.74287,                0.93399,                0.88095,                0.94034,                 0.5106,                 1.1835,                0.73684,                0.70922,               0.008355,               0.008355,               0.008355
                      8,                 1.2878,                0.65249,                 0.7281,                0.94136,                0.89883,                0.94573,                0.46518,                 1.3126,                0.89454,                0.72084,              0.0080108,              0.0080108,              0.0080108
                      9,                 1.3748,                0.66281,                0.73192,                0.94018,                0.76654,                0.83256,                0.41964,                 1.3356,                 1.1347,                0.71688,              0.0076666,              0.0076666,              0.0076666
                     10,                 1.2506,                0.63115,                0.72613,                0.94029,                0.90661,                0.96032,                0.54927,                 1.2444,                 0.6548,                0.71701,              0.0073225,              0.0073225,              0.0073225
                     11,                 1.2364,                0.63694,                0.72956,                 0.9812,                0.88716,                0.95221,                0.55034,                 1.0811,                0.60038,                0.70548,              0.0069783,              0.0069783,              0.0069783
                     12,                 1.2495,                0.61355,                0.72819,                  0.946,                0.88614,                0.95165,                0.48065,                 1.3256,                 0.7012,                0.71513,              0.0066341,              0.0066341,              0.0066341
                     13,                 1.1798,                0.58463,                0.72291,                0.97532,                0.92265,                0.98256,                0.56283,                 1.0499,                0.57241,                0.70563,                0.00629,                0.00629,                0.00629
                     14,                 1.1886,                0.60681,                0.72444,                0.97501,                0.91051,                0.96486,                0.50178,                 1.3089,                0.62773,                0.71442,              0.0059458,              0.0059458,              0.0059458
                     15,                 1.1881,                0.59412,                0.72051,                0.96359,                0.92689,                0.96412,                0.51878,                 1.1227,                0.60336,                0.70408,              0.0056016,              0.0056016,              0.0056016
                     16,                 1.1803,                0.55715,                0.72884,                 0.9805,                0.91829,                0.97694,                0.57505,                 1.0116,                0.52801,                 0.6983,              0.0052575,              0.0052575,              0.0052575
                     17,                 1.1632,                0.54153,                0.71977,                0.96916,                0.92218,                0.96856,                0.56967,                 1.0032,                0.53424,                0.70023,              0.0049133,              0.0049133,              0.0049133
                     18,                 1.1543,                0.54708,                0.72248,                0.97709,                0.91051,                0.95924,                0.48363,                 1.2337,                0.56739,                0.70987,              0.0045691,              0.0045691,              0.0045691
                     19,                 1.1656,                0.53815,                0.72245,                0.96533,                0.94163,                0.97162,                0.55467,                 1.0142,                0.52765,                0.70136,               0.004225,               0.004225,               0.004225
                     20,                 1.0866,                0.49607,                 0.7169,                 0.9531,                0.94888,                0.96773,                0.56876,                 1.0172,                0.55236,                0.69769,              0.0038808,              0.0038808,              0.0038808
                     21,                 1.0659,                0.50665,                0.71763,                0.96684,                0.94942,                0.97727,                 0.6306,                0.92205,                  0.524,                0.69341,              0.0035366,              0.0035366,              0.0035366
                     22,                 1.0352,                 0.4996,                  0.713,                0.97499,                0.92996,                0.98046,                 0.6144,                 0.9018,                0.46827,                0.69427,              0.0031924,              0.0031924,              0.0031924
                     23,                 1.0708,                0.48957,                0.72246,                 0.9451,                0.93777,                0.97703,                0.55402,                 1.0391,                0.55072,                0.70348,              0.0028483,              0.0028483,              0.0028483
                     24,                 1.0248,                0.48676,                0.71414,                0.95814,                0.92218,                 0.9672,                0.61414,                0.95314,                0.53786,                 0.6972,              0.0025041,              0.0025041,              0.0025041
                     25,                 1.0043,                0.49598,                0.71103,                 0.9655,                0.95331,                0.97591,                0.61423,                0.89649,                0.49176,                0.69414,              0.0021599,              0.0021599,              0.0021599
                     26,                 0.9648,                 0.4584,                0.70943,                0.94978,                0.95659,                0.97932,                0.57615,                0.98183,                0.47061,                0.69687,              0.0018158,              0.0018158,              0.0018158
                     27,                 1.0115,                0.47821,                0.70779,                0.95737,                0.96121,                0.98362,                  0.624,                0.93173,                0.47343,                0.69507,              0.0014716,              0.0014716,              0.0014716
                     28,                 0.9641,                0.42567,                0.71824,                0.96044,                0.94942,                0.98087,                0.62751,                 0.8854,                0.46389,                0.69361,              0.0011274,              0.0011274,              0.0011274
                     29,                0.94488,                0.44245,                 0.7054,                0.97999,                0.95297,                0.98398,                0.64708,                0.84309,                0.44064,                 0.6915,             0.00078326,             0.00078326,             0.00078326
                     30,                0.92494,                 0.4208,                0.70438,                 0.9875,                 0.9572,                 0.9855,                0.66656,                0.80872,                0.41651,                0.68763,              0.0004391,              0.0004391,              0.0004391
