                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5631,                 20.442,                 1.4739,                0.96114,                0.28871,                0.64226,                0.27137,                 2.2399,                 2.4904,                 1.4672,               0.064629,               0.002354,               0.002354
                      2,                 2.2372,                  1.348,                 1.4218,                0.80403,                0.63424,                0.67555,                0.28842,                 2.4693,                 1.6434,                 1.4602,               0.028541,              0.0045889,              0.0045889
                      3,                 2.0111,                 1.2186,                 1.3845,                0.78297,                0.59922,                0.70437,                0.31264,                 1.9868,                 3.2927,                  1.366,              0.0058284,              0.0058284,              0.0058284
                      4,                 2.0129,                 1.2368,                 1.3844,                0.88556,                 0.6624,                0.79752,                0.31511,                 2.2905,                 1.7174,                 1.4161,              0.0056226,              0.0056226,              0.0056226
                      5,                 2.0125,                 1.0528,                 1.3866,                0.91952,                0.84047,                0.89139,                0.45267,                 1.6492,                 1.2981,                 1.3244,              0.0054168,              0.0054168,              0.0054168
                      6,                 1.8636,                0.95588,                 1.3824,                0.89287,                 0.8432,                0.88066,                 0.4462,                 1.6206,                 1.0168,                 1.3302,               0.005211,               0.005211,               0.005211
                      7,                 1.7729,                0.91685,                 1.3436,                0.94995,                0.87549,                 0.9295,                0.47509,                 1.7758,                0.98555,                 1.3358,              0.0050051,              0.0050051,              0.0050051
                      8,                 1.8187,                0.85393,                 1.3666,                0.96103,                0.82101,                0.90543,                0.44118,                 1.7726,                0.91768,                 1.3315,              0.0047993,              0.0047993,              0.0047993
                      9,                 1.8057,                0.86677,                  1.358,                0.94957,                0.87549,                0.94028,                0.49475,                 1.5989,                0.83343,                 1.3175,              0.0045935,              0.0045935,              0.0045935
                     10,                 1.7125,                0.79547,                 1.3476,                0.90861,                0.89883,                0.95892,                0.51998,                 1.4923,                 0.7466,                 1.3113,              0.0043877,              0.0043877,              0.0043877
                     11,                 1.6718,                0.78686,                 1.3544,                  0.975,                0.91034,                0.96042,                 0.5405,                 1.4618,                0.70248,                 1.3135,              0.0041819,              0.0041819,              0.0041819
                     12,                 1.6384,                0.80746,                 1.3331,                 0.9656,                0.91051,                0.96956,                0.58301,                 1.3214,                0.72474,                    1.3,              0.0039761,              0.0039761,              0.0039761
                     13,                 1.6032,                0.77712,                 1.3412,                0.94034,                 0.9144,                0.95264,                0.55358,                 1.3657,                0.87907,                 1.3067,              0.0037703,              0.0037703,              0.0037703
                     14,                 1.6946,                0.74807,                 1.3475,                0.95906,                0.90661,                0.95826,                0.44562,                 1.7943,                0.77334,                 1.3265,              0.0035645,              0.0035645,              0.0035645
                     15,                 1.6391,                0.73082,                 1.3396,                0.93884,                0.89602,                 0.9479,                0.49444,                 1.5071,                0.75525,                 1.3152,              0.0033587,              0.0033587,              0.0033587
                     16,                  1.587,                0.70762,                 1.3498,                0.97575,                0.93954,                0.97087,                 0.5586,                 1.3731,                0.70063,                 1.3066,              0.0031529,              0.0031529,              0.0031529
                     17,                 1.5337,                0.69211,                 1.3362,                0.97549,                 0.9144,                0.97848,                0.59327,                 1.1944,                 0.6534,                 1.2934,               0.002947,               0.002947,               0.002947
                     18,                 1.5587,                 0.6816,                 1.3375,                0.98213,                0.92218,                0.97048,                0.56023,                 1.3698,                0.73933,                 1.2998,              0.0027412,              0.0027412,              0.0027412
                     19,                 1.5133,                 0.6771,                 1.3291,                0.97976,                0.94194,                 0.9785,                0.61025,                 1.1963,                0.61126,                 1.2895,              0.0025354,              0.0025354,              0.0025354
                     20,                 1.5176,                0.63807,                 1.3302,                0.96418,                0.94163,                0.97986,                0.51932,                 1.5539,                0.68232,                 1.3107,              0.0023296,              0.0023296,              0.0023296
                     21,                 1.4779,                0.66106,                 1.3365,                0.96421,                0.94345,                0.97793,                0.58041,                 1.3395,                 0.6389,                 1.2959,              0.0021238,              0.0021238,              0.0021238
                     22,                 1.4456,                0.62857,                 1.3323,                0.93894,                0.94942,                0.97399,                0.59256,                 1.3033,                0.63756,                 1.2972,               0.001918,               0.001918,               0.001918
                     23,                 1.4501,                0.64561,                  1.332,                 0.9602,                0.95331,                0.98003,                0.54177,                 1.4456,                0.69369,                 1.3019,              0.0017122,              0.0017122,              0.0017122
                     24,                 1.4362,                0.62507,                  1.338,                0.96336,                0.92996,                0.97359,                  0.532,                 1.4694,                0.63449,                 1.3046,              0.0015064,              0.0015064,              0.0015064
                     25,                 1.3724,                0.60536,                  1.316,                0.98775,                0.94121,                 0.9742,                0.55907,                 1.3536,                0.63801,                 1.2972,              0.0013006,              0.0013006,              0.0013006
                     26,                 1.3636,                0.59187,                 1.3246,                 0.9637,                0.92961,                0.97623,                0.60061,                 1.2781,                0.58122,                   1.29,              0.0010948,              0.0010948,              0.0010948
                     27,                 1.3706,                 0.5881,                 1.3085,                0.96648,                0.96109,                0.98419,                0.61497,                 1.0963,                0.55251,                 1.2805,             0.00088895,             0.00088895,             0.00088895
                     28,                 1.3293,                0.58814,                 1.3156,                0.97642,                 0.9572,                  0.986,                0.64542,                 1.1521,                0.55108,                 1.2817,             0.00068314,             0.00068314,             0.00068314
                     29,                  1.318,                0.55077,                 1.3003,                0.97017,                0.96887,                0.98474,                0.64197,                 1.1379,                0.54344,                 1.2793,             0.00047733,             0.00047733,             0.00047733
                     30,                 1.2902,                0.54837,                 1.3182,                0.97107,                0.96887,                0.98288,                0.64928,                 1.1018,                0.53799,                 1.2775,             0.00027152,             0.00027152,             0.00027152
