fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.66177,0.00697,0.0109,0.96555,0.00058,2.13623,0.78227,8.79194,0.36638,1.00571,0.01557,0.35129,0.4898,0.0,0.12387,0.447,0.0,0.0,0.0,0.40974,0.0,1.0,0.0,0.0
0.67655,0.00679,0.00955,0.95584,0.00068,3.04057,0.75027,8.23811,0.49723,1.0633,0.01492,0.32129,0.37864,0.0,0.12002,0.38443,0.0,0.0,0.0,0.36754,0.0,0.90292,0.0,0.0
0.65967,0.0073,0.01163,0.96474,0.00072,3.09682,0.76929,8.92932,0.45004,1.39247,0.01492,0.32129,0.40672,0.0,0.12329,0.42163,0.0,0.0,0.0,0.38875,0.0,0.95349,0.0,0.0
0.64776,0.00689,0.00874,0.94611,0.00053,3.1832,0.85695,9.28531,0.41653,1.92201,0.01567,0.36437,0.30488,0.0,0.11917,0.41078,0.0,0.0,0.0,0.40766,0.0,0.86523,0.0,0.0
0.65921,0.00689,0.01094,0.96555,0.00061,3.51711,0.95,9.07527,0.45004,1.08806,0.01451,0.32129,0.3903,0.0,0.12002,0.39503,0.0,0.0,0.0,0.38767,0.0,0.99771,0.0,0.0
0.67183,0.0072,0.01077,0.96555,0.00069,2.56649,0.93908,11.83664,0.41603,1.16789,0.01423,0.30628,0.36382,0.0,0.14059,0.42479,0.0,0.0,0.0,0.41332,0.0,0.8624,0.0,0.0
0.65098,0.00718,0.01242,0.90794,0.00055,2.50728,0.87298,7.95486,0.46738,1.37512,0.01422,0.34621,0.46485,0.0,0.10763,0.42479,0.0,0.0,0.0,0.39339,0.0,0.95349,0.0,0.0
0.67058,0.00689,0.01179,0.92515,0.00076,3.14439,0.78227,7.17618,0.41991,1.53004,0.01492,0.30185,0.40231,0.0,0.11732,0.42627,0.0,0.0,0.0,0.3756,0.0,0.93739,0.0,0.0
0.65835,0.00619,0.01166,0.98,0.00059,3.30123,0.85392,9.37242,0.45004,1.37512,0.01243,0.32016,0.42952,0.0,0.12382,0.42479,0.0,0.0,0.0,0.41331,0.0,0.91484,0.0,0.0
0.66596,0.00629,0.0096,0.96878,0.00073,4.22468,0.76675,8.92839,0.50997,1.06561,0.00987,0.34003,0.31489,0.0,0.12369,0.28497,0.0,0.0,0.0,0.28975,0.0,0.89644,0.0,0.0
0.65412,0.00737,0.00956,0.88225,0.00066,2.90007,0.95,8.24264,0.47316,2.009,0.01822,0.33776,0.39204,0.0,0.14358,0.38362,0.0,0.0,0.0,0.42807,0.0,1.0,0.0,0.0
0.65315,0.00705,0.01173,0.98,0.00073,3.30101,0.87457,12.42206,0.46055,1.18822,0.01413,0.30628,0.36383,0.0,0.14107,0.41225,0.0,0.0,0.0,0.36888,0.0,0.83484,0.0,0.0
0.64265,0.00681,0.01089,0.97479,0.0007,3.03098,0.87132,12.1721,0.47398,1.35869,0.01439,0.27774,0.43105,0.0,0.14477,0.42954,0.0,0.0,0.0,0.35249,0.0,0.81719,0.0,0.0
0.66733,0.00665,0.01158,0.9378,0.00067,2.72038,0.87056,8.10796,0.45004,2.08005,0.01842,0.31941,0.42042,0.0,0.12981,0.36403,0.0,0.0,0.0,0.37055,0.0,0.99962,0.0,0.0
