                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2872,                     51,                0.88148,                  0.987,                0.29543,                0.63578,                 0.3004,                  1.714,                 16.382,                0.81251,             0.00065766,             0.00065766,             0.00065766
                      2,                 1.9844,                 27.476,                0.85466,                0.04525,                0.76654,                0.03959,                0.01896,                 1.6786,                 90.032,                0.80618,              0.0013112,              0.0013112,              0.0013112
                      3,                 1.9517,                 17.924,                0.84385,                0.91957,                0.80545,                0.85893,                0.42247,                  1.565,                 4.6399,                0.80136,              0.0019516,              0.0019516,              0.0019516
                      4,                 1.8626,                 11.227,                0.84164,                0.92053,                0.79767,                0.87607,                0.46051,                 1.4781,                 1.9047,                 0.7975,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.9147,                 6.7797,                0.84875,                0.96881,                0.84615,                0.91633,                0.50706,                 1.4078,                0.82414,                0.79594,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.7998,                  4.128,                0.83266,                0.92085,                0.86007,                0.91003,                0.47969,                 1.4918,                0.78209,                0.79053,               0.001901,               0.001901,               0.001901
                      7,                 1.7112,                  2.843,                0.82816,                 0.9753,                0.82879,                0.93035,                0.53158,                 1.3328,                0.71039,                0.79491,              0.0018812,              0.0018812,              0.0018812
                      8,                  1.624,                 2.0711,                0.81755,                0.93014,                0.82888,                0.90082,                0.44464,                  1.577,                 0.8531,                0.79731,              0.0018614,              0.0018614,              0.0018614
                      9,                  1.737,                  1.702,                 0.8293,                0.95665,                0.85871,                0.93581,                0.55011,                 1.2953,                0.66865,                0.79321,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.6934,                 1.4281,                0.82183,                0.91712,                0.89494,                0.93766,                0.41393,                 1.7066,                0.74373,                0.80546,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.6554,                 1.1943,                0.82908,                0.94937,                 0.8677,                0.93294,                0.46313,                 1.5477,                0.68689,                0.80282,               0.001802,               0.001802,               0.001802
                     12,                 1.6455,                 1.1479,                0.82214,                0.95583,                0.87549,                0.95236,                0.48057,                 1.4532,                0.64153,                0.79057,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.5616,                 1.0442,                0.81391,                0.95242,                0.93462,                0.96335,                0.56381,                 1.3104,                0.59337,                0.78988,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.5642,                0.95439,                0.81722,                0.94976,                0.88268,                0.95446,                0.52837,                  1.476,                0.67815,                0.80065,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.5392,                0.91062,                 0.8178,                0.93635,                0.91588,                0.96034,                0.56563,                 1.2277,                0.58431,                0.78548,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.5217,                0.85976,                0.82321,                0.96712,                0.91557,                0.96521,                0.55084,                 1.3264,                0.60141,                0.78851,               0.001703,               0.001703,               0.001703
                     17,                 1.5223,                0.84096,                0.81289,                0.94893,                0.93986,                0.96756,                0.51631,                 1.3912,                0.58671,                0.79143,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.5033,                0.80953,                0.81819,                0.97463,                0.92607,                0.97708,                0.54258,                 1.3845,                0.60567,                0.79108,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.6367,                0.84089,                0.81972,                0.92231,                0.92384,                0.96237,                0.41946,                 1.7243,                0.67631,                0.80548,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.4569,                0.76517,                0.80668,                0.98755,                 0.9262,                0.97709,                0.55787,                 1.3068,                 0.5457,                 0.7897,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.4552,                0.71843,                0.81771,                0.96271,                0.92996,                0.97036,                0.59196,                 1.1992,                0.51904,                0.78471,               0.001604,               0.001604,               0.001604
                     22,                 1.4278,                0.70975,                0.80127,                 0.9645,                0.94553,                0.97874,                0.60046,                 1.1475,                0.52163,                0.78029,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.4351,                0.68796,                0.80112,                0.95591,                0.94163,                0.97086,                 0.5883,                 1.2812,                0.57641,                0.78388,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.4042,                0.68639,                0.80688,                0.99173,                0.93377,                0.97881,                0.54546,                 1.3042,                0.55047,                0.78533,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.4126,                0.69716,                0.79776,                0.95927,                0.94942,                0.96891,                0.52358,                 1.3316,                0.57878,                0.78806,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.4068,                0.66334,                0.80267,                0.97597,                 0.9481,                0.98408,                 0.6051,                 1.2156,                0.53924,                0.77965,               0.001505,               0.001505,               0.001505
                     27,                  1.397,                0.66622,                0.80828,                 0.9757,                0.93725,                 0.9726,                0.59577,                 1.1403,                0.49248,                0.78331,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.4654,                0.63126,                0.81156,                0.97266,                0.94553,                0.98073,                0.56012,                 1.2209,                0.52193,                0.78171,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.4403,                0.62803,                0.81247,                0.96718,                 0.9572,                0.97695,                0.59757,                 1.2038,                0.49246,                0.78024,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.3879,                0.60389,                0.80634,                0.98373,                0.94091,                0.98262,                0.61268,                 1.1486,                0.51783,                0.77961,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.3538,                0.59488,                0.81072,                0.95741,                0.94553,                0.98057,                0.60334,                 1.2248,                 0.4717,                0.78141,               0.001406,               0.001406,               0.001406
                     32,                 1.3804,                0.60955,                0.80956,                0.95585,                0.96498,                0.98559,                0.60875,                 1.1307,                0.46959,                0.77603,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.3842,                0.59916,                0.81056,                0.92719,                0.94147,                0.96307,                0.56225,                 1.3546,                0.51585,                0.78715,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.3606,                0.59409,                0.80212,                0.95497,                0.94942,                 0.9733,                0.59206,                 1.1832,                0.50523,                0.77876,              0.0013466,              0.0013466,              0.0013466
                     35,                  1.337,                0.59118,                0.79804,                 0.9757,                0.93757,                0.97384,                0.63265,                 1.0666,                0.46197,                0.77634,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.3749,                0.60589,                0.80644,                0.96432,                0.94651,                0.97706,                0.57852,                 1.2319,                0.51051,                0.78067,               0.001307,               0.001307,               0.001307
                     37,                 1.3058,                0.57717,                0.79899,                0.98029,                 0.9572,                0.98674,                0.63679,                  1.073,                0.46097,                0.77594,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.3139,                0.56261,                0.78825,                0.97213,                0.95014,                0.97552,                0.60331,                 1.1468,                0.48463,                0.77846,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.3117,                0.56988,                0.79466,                0.95442,                 0.9572,                0.97517,                0.61905,                 1.1169,                0.48979,                0.77643,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.3383,                 0.5602,                0.79964,                0.95322,                0.95136,                0.97003,                0.60307,                  1.184,                  0.482,                 0.7777,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.3213,                0.57569,                0.80198,                 0.9683,                 0.9508,                  0.981,                0.59144,                 1.2335,                0.50663,                0.77933,               0.001208,               0.001208,               0.001208
                     42,                 1.3129,                0.56968,                 0.8018,                0.96438,                0.94817,                0.97952,                0.58902,                 1.1886,                0.49754,                0.78341,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.3336,                0.55076,                0.79945,                0.95251,                0.93645,                0.96728,                0.56655,                 1.2329,                0.52543,                0.78029,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.3203,                0.55017,                0.80023,                0.94837,                0.94942,                0.98127,                0.59545,                  1.197,                0.51474,                0.77962,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.2322,                0.52439,                0.79635,                 0.9548,                 0.9572,                0.98211,                0.63033,                 1.1034,                0.44531,                0.77893,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.2758,                0.53276,                0.80158,                0.94981,                0.96498,                0.98375,                 0.6413,                 1.0843,                0.45925,                0.77543,               0.001109,               0.001109,               0.001109
                     47,                 1.2641,                0.51959,                0.80312,                0.96023,                0.93956,                0.97597,                0.62975,                 1.0578,                0.46605,                 0.7705,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.3075,                0.51377,                0.79997,                0.95892,                0.96498,                0.97792,                  0.637,                 1.0878,                 0.4697,                0.77174,              0.0010694,              0.0010694,              0.0010694
